comparison,n_before,n_after,diff,p_value,in_deck
service:A-NEURO,1432,441,-0.0015,0.9301,False
service:B-THOR,1120,353,-0.0565,0.0012,False
service:A-ORTH,1371,477,-0.0191,0.2769,False
service:A-GEN,1335,190,-0.0321,0.0368,False
service:A-OPHT,1396,471,0.0037,0.8201,False
service:A-PAED,1408,1526,-0.017,0.0507,False
service:B-VASC,1136,354,-0.0392,0.0015,False
service:A-CARD,1422,460,-0.0104,0.5598,False
service:B-PAED,1120,355,-0.0323,0.0485,False
service:A-PLAS,1396,198,-0.034,0.0491,False
service:A-VASC,1371,194,-0.027,0.1972,False
service:B-ORTH,1119,394,-0.0091,0.4883,False
service:A-THOR,1377,484,0.014,0.4002,False
service:B-OPHT,1074,393,-0.0144,0.3235,False
service:B-GEN,1075,358,0.0038,0.8465,False
service:B-URO,1208,372,-0.0512,0.0014,False
service:B-ENT,1082,359,0.0007,0.974,False
service:B-NEURO,1156,376,-0.0414,0.012,False
service:B-GYN,1123,354,-0.0228,0.1972,False
service:B-CARD,1126,404,0.0005,0.9787,False
service:A-URO,1337,454,-0.0066,0.703,False
service:A-GYN,1394,184,-0.0269,0.0647,False
service:A-ENT,1312,480,0.0097,0.5819,False
service:B-PLAS,1125,354,0.0233,0.272,False
site:A,16551,5559,-0.0117,0.0088,False
site:A|sex:F,8271,2776,-0.0088,0.1656,False
site:A|sex:M,8280,2783,-0.0146,0.02,False
site:A|age<50,5053,1730,-0.0135,0.0955,False
site:A|age50-70,7758,2601,-0.0063,0.3377,False
site:A|age>70,3740,1228,-0.0207,0.0237,False
site:B,13464,4426,-0.0202,0.0001,True
site:B|sex:F,6797,2196,-0.0114,0.1225,False
site:B|sex:M,6667,2230,-0.0288,0.0,True
site:B|age<50,4162,1352,-0.0196,0.03,False
site:B|age50-70,6234,2067,-0.0212,0.0045,False
site:B|age>70,3068,1007,-0.0189,0.0723,False
ward:A-W1,4115,1398,-0.0033,0.7462,False
ward:A-W2,2771,668,0.0123,0.3185,False
ward:A-W3,8294,3299,-0.02,0.0004,False
ward:A-W4,1371,194,-0.027,0.1972,False
ward:B-W1,3320,1152,-0.0149,0.125,False
ward:B-W2,3364,1101,-0.0156,0.123,False
ward:B-W3,5705,1815,-0.0305,0.0001,False
ward:B-W4,1075,358,0.0038,0.8465,False
sex:F,15068,4972,-0.0101,0.0372,False
sex:M,14947,5013,-0.0209,0.0,True
age<50,9215,3082,-0.0163,0.0071,False
age50-70,13992,4668,-0.0129,0.0088,False
age>70,6808,2235,-0.0199,0.004,False
site:A|weekend,4852,1600,-0.0074,0.3817,False
site:A|weekday,11699,3959,-0.0135,0.0106,False
