pair_id,reviewer_1,reviewer_2,adjudicated
P0000,PROCEED,PROCEED,
P0001,HOLD,HOLD,
P0002,PROCEED,PROCEED,
P0003,PROCEED,PROCEED,
P0004,HOLD,HOLD,
P0005,PROCEED,PROCEED,
P0006,HOLD,HOLD,
P0007,PROCEED,PROCEED,
P0008,PROCEED,PROCEED,
P0009,HOLD,HOLD,
P0010,PROCEED,PROCEED,
P0011,PROCEED,PROCEED,
P0012,PROCEED,PROCEED,
P0013,PROCEED,PROCEED,
P0014,PROCEED,PROCEED,
P0015,PROCEED,PROCEED,
P0016,PROCEED,PROCEED,
P0017,HOLD,HOLD,
P0018,HOLD,HOLD,
P0019,HOLD,HOLD,
P0020,HOLD,HOLD,
P0021,PROCEED,HOLD,
P0022,PROCEED,PROCEED,
P0023,PROCEED,PROCEED,
P0024,HOLD,PROCEED,
P0025,PROCEED,PROCEED,
P0026,HOLD,HOLD,
P0027,HOLD,HOLD,
P0028,PROCEED,PROCEED,
P0029,PROCEED,PROCEED,
P0030,PROCEED,PROCEED,
P0031,PROCEED,PROCEED,
P0032,PROCEED,PROCEED,
P0033,PROCEED,HOLD,
P0034,PROCEED,PROCEED,
P0035,PROCEED,PROCEED,
P0036,HOLD,HOLD,
P0037,PROCEED,PROCEED,
P0038,PROCEED,HOLD,
P0039,PROCEED,HOLD,
P0040,PROCEED,PROCEED,
P0041,HOLD,HOLD,
P0042,PROCEED,PROCEED,
P0043,HOLD,HOLD,
P0044,HOLD,PROCEED,
P0045,PROCEED,PROCEED,
P0046,PROCEED,PROCEED,
P0047,PROCEED,PROCEED,
P0048,PROCEED,PROCEED,
P0049,HOLD,HOLD,
P0050,HOLD,HOLD,
P0051,PROCEED,PROCEED,
P0052,HOLD,HOLD,
P0053,HOLD,HOLD,
P0054,PROCEED,PROCEED,
P0055,HOLD,HOLD,
P0056,PROCEED,HOLD,
P0057,PROCEED,PROCEED,
P0058,PROCEED,PROCEED,
P0059,HOLD,PROCEED,
P0060,PROCEED,HOLD,
P0061,PROCEED,PROCEED,
P0062,HOLD,PROCEED,
P0063,PROCEED,PROCEED,
P0064,PROCEED,HOLD,
P0065,PROCEED,PROCEED,
P0066,HOLD,HOLD,
P0067,PROCEED,PROCEED,
P0068,HOLD,HOLD,
P0069,PROCEED,PROCEED,
P0070,HOLD,HOLD,
P0071,HOLD,HOLD,
P0072,PROCEED,PROCEED,
P0073,PROCEED,PROCEED,
P0074,PROCEED,PROCEED,
P0075,HOLD,HOLD,
P0076,PROCEED,PROCEED,
P0077,PROCEED,PROCEED,
P0078,PROCEED,HOLD,
P0079,HOLD,HOLD,
P0080,HOLD,HOLD,
P0081,HOLD,HOLD,
P0082,PROCEED,PROCEED,
P0083,PROCEED,HOLD,
P0084,PROCEED,PROCEED,
P0085,HOLD,PROCEED,
P0086,PROCEED,PROCEED,
P0087,PROCEED,PROCEED,
P0088,HOLD,HOLD,
P0089,PROCEED,PROCEED,
P0090,PROCEED,PROCEED,
P0091,PROCEED,PROCEED,
P0092,PROCEED,PROCEED,
P0093,PROCEED,PROCEED,
P0094,PROCEED,PROCEED,
P0095,HOLD,HOLD,
P0096,PROCEED,HOLD,
P0097,PROCEED,PROCEED,
P0098,HOLD,HOLD,
P0099,PROCEED,PROCEED,
P0100,PROCEED,PROCEED,
P0101,PROCEED,PROCEED,
P0102,PROCEED,PROCEED,
P0103,PROCEED,PROCEED,
P0104,PROCEED,PROCEED,
P0105,HOLD,HOLD,
P0106,PROCEED,PROCEED,
P0107,PROCEED,PROCEED,
P0108,HOLD,PROCEED,
P0109,PROCEED,PROCEED,
P0110,PROCEED,HOLD,
P0111,PROCEED,PROCEED,
P0112,HOLD,HOLD,
P0113,HOLD,HOLD,
P0114,HOLD,HOLD,
P0115,PROCEED,PROCEED,
P0116,PROCEED,HOLD,
P0117,HOLD,HOLD,
P0118,PROCEED,PROCEED,
P0119,HOLD,HOLD,
