case_id,score_batch,score_live,feature_visit_null,threshold_used,scored_ts
C000000001,0.4397,0.4934,True,0.62,2026-04-11
C000000002,0.5015,0.5553,True,0.62,2026-05-01
C000000003,0.442,0.442,False,0.62,2026-01-29
C000000004,0.3618,0.3618,False,0.62,2025-10-08
C000000005,0.2317,0.2317,False,0.62,2025-09-18
C000000006,0.3745,0.3745,False,0.62,2026-06-14
C000000007,0.3476,0.3476,False,0.62,2026-06-02
C000000008,0.5334,0.5334,False,0.62,2025-08-10
C000000009,0.0692,0.0692,False,0.62,2026-01-31
C000000010,0.3994,0.3994,False,0.62,2026-02-12
C000000011,0.0803,0.0803,False,0.62,2026-02-26
C000000012,0.4537,0.4537,False,0.62,2026-05-28
C000000013,0.3325,0.382,True,0.62,2025-12-07
C000000014,0.05,0.05,False,0.62,2025-12-15
C000000015,0.3816,0.3816,False,0.62,2026-06-07
C000000016,0.3057,0.3533,True,0.62,2025-12-23
C000000017,0.4577,0.4577,False,0.62,2026-05-24
C000000018,0.1046,0.1046,False,0.62,2026-01-03
C000000019,0.5504,0.5504,False,0.62,2025-11-08
C000000020,0.0889,0.0889,False,0.62,2026-02-08
C000000021,0.4311,0.4311,False,0.62,2026-01-14
C000000022,0.4319,0.4319,False,0.62,2026-05-08
C000000023,0.0551,0.0675,True,0.62,2026-05-25
C000000024,0.2818,0.2818,False,0.62,2025-08-22
C000000025,0.4307,0.4307,False,0.62,2025-12-21
C000000026,0.3826,0.4347,True,0.62,2025-10-13
C000000027,0.2362,0.2362,False,0.62,2026-05-21
C000000028,0.384,0.4362,True,0.62,2025-10-26
C000000029,0.4675,0.4675,False,0.62,2026-05-27
C000000030,0.4006,0.4534,True,0.62,2026-03-05
C000000031,0.5122,0.5122,False,0.62,2026-01-13
C000000032,0.6805,0.6805,False,0.62,2026-04-27
C000000033,0.3052,0.3052,False,0.62,2026-04-06
C000000034,0.087,0.087,False,0.62,2026-03-06
C000000035,0.3825,0.3825,False,0.62,2025-09-23
C000000036,0.2628,0.2628,False,0.62,2026-05-13
C000000037,0.3854,0.4376,True,0.62,2026-02-24
C000000038,0.3697,0.3697,False,0.62,2026-03-11
C000000039,0.444,0.444,False,0.62,2026-01-05
C000000040,0.5521,0.5521,False,0.62,2026-01-11
C000000041,0.1493,0.1493,False,0.62,2025-10-28
C000000042,0.4464,0.4464,False,0.62,2026-06-04
C000000043,0.6649,0.6649,False,0.62,2026-04-17
C000000044,0.4541,0.4541,False,0.62,2026-03-21
C000000045,0.3448,0.395,True,0.62,2026-06-17
C000000046,0.4197,0.4197,False,0.62,2026-02-28
C000000047,0.3855,0.3855,False,0.62,2025-08-06
C000000048,0.4738,0.4738,False,0.62,2026-04-01
C000000049,0.571,0.571,False,0.62,2025-08-03
C000000050,0.5228,0.5228,False,0.62,2025-09-25
C000000051,0.5363,0.5894,True,0.62,2025-08-17
C000000052,0.4324,0.4324,False,0.62,2025-09-19
C000000053,0.4915,0.4915,False,0.62,2026-05-10
C000000054,0.248,0.2904,True,0.62,2025-12-11
C000000055,0.5344,0.5344,False,0.62,2025-10-30
C000000056,0.1195,0.1442,True,0.62,2026-04-29
C000000057,0.547,0.547,False,0.62,2025-08-06
C000000058,0.4778,0.4778,False,0.62,2025-10-27
C000000059,0.351,0.351,False,0.62,2026-07-23
C000000060,0.2538,0.2538,False,0.62,2026-05-29
C000000061,0.4353,0.4353,False,0.62,2026-03-04
C000000062,0.5397,0.5397,False,0.62,2025-10-19
C000000063,0.2826,0.2826,False,0.62,2026-02-25
C000000064,0.4111,0.4111,False,0.62,2025-12-10
C000000065,0.6548,0.6548,False,0.62,2026-03-18
C000000066,0.0565,0.0565,False,0.62,2026-05-10
