site,service_code,week,cases,cancels,cancel_rate,alert_fired
A,A-CARD,2025-07-28,12,2,0.1667,False
A,A-CARD,2025-08-04,39,4,0.1026,False
A,A-CARD,2025-08-11,54,14,0.2593,False
A,A-CARD,2025-08-18,43,4,0.093,False
A,A-CARD,2025-08-25,34,5,0.1471,False
A,A-CARD,2025-09-01,45,6,0.1333,False
A,A-CARD,2025-09-08,29,3,0.1034,False
A,A-CARD,2025-09-15,33,7,0.2121,False
A,A-CARD,2025-09-22,50,5,0.1,False
A,A-CARD,2025-09-29,45,5,0.1111,False
A,A-CARD,2025-10-06,32,7,0.2188,False
A,A-CARD,2025-10-13,31,1,0.0323,False
A,A-CARD,2025-10-20,42,6,0.1429,False
A,A-CARD,2025-10-27,44,7,0.1591,False
A,A-CARD,2025-11-03,39,3,0.0769,False
A,A-CARD,2025-11-10,35,3,0.0857,False
A,A-CARD,2025-11-17,38,7,0.1842,False
A,A-CARD,2025-11-24,34,7,0.2059,False
A,A-CARD,2025-12-01,36,5,0.1389,False
A,A-CARD,2025-12-08,43,6,0.1395,False
A,A-CARD,2025-12-15,41,7,0.1707,False
A,A-CARD,2025-12-22,40,9,0.225,False
A,A-CARD,2025-12-29,26,7,0.2692,False
A,A-CARD,2026-01-05,35,2,0.0571,False
A,A-CARD,2026-01-12,39,1,0.0256,False
A,A-CARD,2026-01-19,27,3,0.1111,False
A,A-CARD,2026-01-26,25,7,0.28,False
A,A-CARD,2026-02-02,41,4,0.0976,False
A,A-CARD,2026-02-09,30,2,0.0667,False
A,A-CARD,2026-02-16,31,3,0.0968,False
A,A-CARD,2026-02-23,27,2,0.0741,False
A,A-CARD,2026-03-02,40,5,0.125,False
A,A-CARD,2026-03-09,38,5,0.1316,False
A,A-CARD,2026-03-16,47,5,0.1064,False
A,A-CARD,2026-03-23,26,1,0.0385,False
A,A-CARD,2026-03-30,35,4,0.1143,False
A,A-CARD,2026-04-06,29,2,0.069,False
A,A-CARD,2026-04-13,36,7,0.1944,False
A,A-CARD,2026-04-20,27,6,0.2222,False
A,A-CARD,2026-04-27,34,4,0.1176,False
