case_id,uplift_score,targeted,model_auc_reported
C000004898,0.4861,False,0.71
C000009906,0.3871,False,0.71
C000037869,0.6837,True,0.71
C000005656,0.645,True,0.71
C000037224,0.504,False,0.71
C000033024,0.2913,False,0.71
C000016485,0.8475,True,0.71
C000014617,0.2814,False,0.71
C000034977,0.4238,False,0.71
C000003736,0.2592,False,0.71
C000037086,0.0723,False,0.71
C000028569,0.7673,True,0.71
C000028650,0.3504,False,0.71
C000034131,0.0722,False,0.71
C000024359,0.8627,True,0.71
C000021792,0.427,False,0.71
C000002215,0.3328,False,0.71
C000017597,0.3627,False,0.71
C000035136,0.0,False,0.71
C000036713,0.5148,False,0.71
C000033388,0.6122,True,0.71
C000007913,0.2162,False,0.71
C000033032,0.1794,False,0.71
C000010614,0.4993,False,0.71
C000029761,0.7883,True,0.71
C000023437,0.615,True,0.71
C000033180,0.6594,True,0.71
C000001827,0.6066,True,0.71
C000000815,0.6676,True,0.71
C000008026,0.1752,False,0.71
C000025334,0.3613,False,0.71
C000002157,0.6365,True,0.71
C000004759,0.684,True,0.71
C000014472,0.7224,True,0.71
C000012955,0.3831,False,0.71
C000033935,0.4208,False,0.71
C000011839,0.8193,True,0.71
C000010591,0.5444,False,0.71
C000022285,0.6555,True,0.71
C000021504,0.7148,True,0.71
C000032697,0.5134,False,0.71
C000036481,0.04,False,0.71
C000023311,0.376,False,0.71
C000003036,0.4626,False,0.71
C000033692,0.8394,True,0.71
C000025892,0.6432,True,0.71
C000006107,0.6291,True,0.71
C000015966,0.2909,False,0.71
C000013636,0.3332,False,0.71
C000011101,0.1318,False,0.71
C000038358,0.5802,True,0.71
C000012272,0.5638,True,0.71
C000005735,0.8042,True,0.71
C000021801,0.472,False,0.71
C000027410,0.2029,False,0.71
C000004105,0.5075,False,0.71
C000038208,0.8733,True,0.71
C000013125,0.8005,True,0.71
C000011517,0.2726,False,0.71
C000015278,0.4594,False,0.71
C000028467,0.3726,False,0.71
C000017897,0.6717,True,0.71
C000016720,0.9714,True,0.71
C000029285,0.3285,False,0.71
C000025838,0.1255,False,0.71
C000008720,0.4502,False,0.71
