context,strategy,threshold,net_benefit,rows,validity,quantity_status,threshold_number_id,net_benefit_number_id,rows_number_id
all_observed_proxy_outcomes,model,0.05,0.039463678206924147,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0001-THRESHOLD,N-DECISION-CURVE-0001-NET_BENEFIT,N-DECISION-CURVE-0001-ROWS
all_observed_proxy_outcomes,treat_all,0.05,0.04861537612222505,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0002-THRESHOLD,N-DECISION-CURVE-0002-NET_BENEFIT,N-DECISION-CURVE-0002-ROWS
all_observed_proxy_outcomes,treat_none,0.05,0.0,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0003-THRESHOLD,N-DECISION-CURVE-0003-NET_BENEFIT,N-DECISION-CURVE-0003-ROWS
all_observed_proxy_outcomes,model,0.1,-0.05824046151829029,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0004-THRESHOLD,N-DECISION-CURVE-0004-NET_BENEFIT,N-DECISION-CURVE-0004-ROWS
all_observed_proxy_outcomes,treat_all,0.1,-0.004239325204317995,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0005-THRESHOLD,N-DECISION-CURVE-0005-NET_BENEFIT,N-DECISION-CURVE-0005-ROWS
all_observed_proxy_outcomes,treat_none,0.1,0.0,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0006-THRESHOLD,N-DECISION-CURVE-0006-NET_BENEFIT,N-DECISION-CURVE-0006-ROWS
all_observed_proxy_outcomes,model,0.15,-0.14483221372986066,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0007-THRESHOLD,N-DECISION-CURVE-0007-NET_BENEFIT,N-DECISION-CURVE-0007-ROWS
all_observed_proxy_outcomes,treat_all,0.15,-0.06331222668692493,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0008-THRESHOLD,N-DECISION-CURVE-0008-NET_BENEFIT,N-DECISION-CURVE-0008-ROWS
all_observed_proxy_outcomes,treat_none,0.15,0.0,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0009-THRESHOLD,N-DECISION-CURVE-0009-NET_BENEFIT,N-DECISION-CURVE-0009-ROWS
all_observed_proxy_outcomes,model,0.2,-0.215163235872558,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0010-THRESHOLD,N-DECISION-CURVE-0010-NET_BENEFIT,N-DECISION-CURVE-0010-ROWS
all_observed_proxy_outcomes,treat_all,0.2,-0.12976924085485775,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0011-THRESHOLD,N-DECISION-CURVE-0011-NET_BENEFIT,N-DECISION-CURVE-0011-ROWS
all_observed_proxy_outcomes,treat_none,0.2,0.0,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0012-THRESHOLD,N-DECISION-CURVE-0012-NET_BENEFIT,N-DECISION-CURVE-0012-ROWS
all_observed_proxy_outcomes,model,0.25,-0.27677112014335037,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0013-THRESHOLD,N-DECISION-CURVE-0013-NET_BENEFIT,N-DECISION-CURVE-0013-ROWS
all_observed_proxy_outcomes,treat_all,0.25,-0.2050871902451816,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0014-THRESHOLD,N-DECISION-CURVE-0014-NET_BENEFIT,N-DECISION-CURVE-0014-ROWS
all_observed_proxy_outcomes,treat_none,0.25,0.0,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0015-THRESHOLD,N-DECISION-CURVE-0015-NET_BENEFIT,N-DECISION-CURVE-0015-ROWS
all_observed_proxy_outcomes,model,0.3,-0.32435145816553973,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0016-THRESHOLD,N-DECISION-CURVE-0016-NET_BENEFIT,N-DECISION-CURVE-0016-ROWS
all_observed_proxy_outcomes,treat_all,0.3,-0.29116484669126597,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0017-THRESHOLD,N-DECISION-CURVE-0017-NET_BENEFIT,N-DECISION-CURVE-0017-ROWS
all_observed_proxy_outcomes,treat_none,0.3,0.0,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0018-THRESHOLD,N-DECISION-CURVE-0018-NET_BENEFIT,N-DECISION-CURVE-0018-ROWS
all_observed_proxy_outcomes,model,0.35,-0.34878316910570745,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0019-THRESHOLD,N-DECISION-CURVE-0019-NET_BENEFIT,N-DECISION-CURVE-0019-ROWS
all_observed_proxy_outcomes,treat_all,0.35,-0.3904852195136711,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0020-THRESHOLD,N-DECISION-CURVE-0020-NET_BENEFIT,N-DECISION-CURVE-0020-ROWS
all_observed_proxy_outcomes,treat_none,0.35,0.0,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0021-THRESHOLD,N-DECISION-CURVE-0021-NET_BENEFIT,N-DECISION-CURVE-0021-ROWS
all_observed_proxy_outcomes,model,0.4,-0.34557056072724096,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0022-THRESHOLD,N-DECISION-CURVE-0022-NET_BENEFIT,N-DECISION-CURVE-0022-ROWS
all_observed_proxy_outcomes,treat_all,0.4,-0.5063589878064771,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0023-THRESHOLD,N-DECISION-CURVE-0023-NET_BENEFIT,N-DECISION-CURVE-0023-ROWS
all_observed_proxy_outcomes,treat_none,0.4,0.0,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0024-THRESHOLD,N-DECISION-CURVE-0024-NET_BENEFIT,N-DECISION-CURVE-0024-ROWS
all_observed_proxy_outcomes,model,0.45,-0.30969164570842816,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0025-THRESHOLD,N-DECISION-CURVE-0025-NET_BENEFIT,N-DECISION-CURVE-0025-ROWS
all_observed_proxy_outcomes,treat_all,0.45,-0.6433007139707021,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0026-THRESHOLD,N-DECISION-CURVE-0026-NET_BENEFIT,N-DECISION-CURVE-0026-ROWS
all_observed_proxy_outcomes,treat_none,0.45,0.0,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0027-THRESHOLD,N-DECISION-CURVE-0027-NET_BENEFIT,N-DECISION-CURVE-0027-ROWS
all_observed_proxy_outcomes,model,0.5,-0.24305755867313492,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0028-THRESHOLD,N-DECISION-CURVE-0028-NET_BENEFIT,N-DECISION-CURVE-0028-ROWS
all_observed_proxy_outcomes,treat_all,0.5,-0.8076307853677724,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0029-THRESHOLD,N-DECISION-CURVE-0029-NET_BENEFIT,N-DECISION-CURVE-0029-ROWS
all_observed_proxy_outcomes,treat_none,0.5,0.0,38135,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-DECISION-CURVE-0030-THRESHOLD,N-DECISION-CURVE-0030-NET_BENEFIT,N-DECISION-CURVE-0030-ROWS
