dimension,group,metric,estimate,lower,upper,rows,service_clusters,interval_method,inferential_status,validity,quantity_status,estimate_number_id,lower_number_id,upper_number_id,rows_number_id,service_clusters_number_id
site,A,sensitivity,0.0,0.0,0.0,21083,12,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0001-ESTIMATE,N-MODEL-SUBGROUPS-0001-LOWER,N-MODEL-SUBGROUPS-0001-UPPER,N-MODEL-SUBGROUPS-0001-ROWS,N-MODEL-SUBGROUPS-0001-SERVICE_CLUSTERS
site,A,specificity,0.9546358308915864,0.9364747085560701,0.9735548146325187,21083,12,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0002-ESTIMATE,N-MODEL-SUBGROUPS-0002-LOWER,N-MODEL-SUBGROUPS-0002-UPPER,N-MODEL-SUBGROUPS-0002-ROWS,N-MODEL-SUBGROUPS-0002-SERVICE_CLUSTERS
site,A,brier,0.25138427340036995,0.2347841067342262,0.26597063305051194,21083,12,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0003-ESTIMATE,N-MODEL-SUBGROUPS-0003-LOWER,N-MODEL-SUBGROUPS-0003-UPPER,N-MODEL-SUBGROUPS-0003-ROWS,N-MODEL-SUBGROUPS-0003-SERVICE_CLUSTERS
site,A,net_benefit,-0.06709571443193194,-0.09465699423321719,-0.03889917759774593,21083,12,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0004-ESTIMATE,N-MODEL-SUBGROUPS-0004-LOWER,N-MODEL-SUBGROUPS-0004-UPPER,N-MODEL-SUBGROUPS-0004-ROWS,N-MODEL-SUBGROUPS-0004-SERVICE_CLUSTERS
site,B,sensitivity,0.0005892751915144372,0.0,0.0018203883495145632,17052,12,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0005-ESTIMATE,N-MODEL-SUBGROUPS-0005-LOWER,N-MODEL-SUBGROUPS-0005-UPPER,N-MODEL-SUBGROUPS-0005-ROWS,N-MODEL-SUBGROUPS-0005-SERVICE_CLUSTERS
site,B,specificity,0.9542819928362097,0.9319619347482159,0.9751798489627669,17052,12,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0006-ESTIMATE,N-MODEL-SUBGROUPS-0006-LOWER,N-MODEL-SUBGROUPS-0006-UPPER,N-MODEL-SUBGROUPS-0006-ROWS,N-MODEL-SUBGROUPS-0006-SERVICE_CLUSTERS
site,B,brier,0.252162614273399,0.2306296614997228,0.27382374082934036,17052,12,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0007-ESTIMATE,N-MODEL-SUBGROUPS-0007-LOWER,N-MODEL-SUBGROUPS-0007-UPPER,N-MODEL-SUBGROUPS-0007-ROWS,N-MODEL-SUBGROUPS-0007-SERVICE_CLUSTERS
site,B,net_benefit,-0.0671105102658123,-0.09950962912193126,-0.03659977548759994,17052,12,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0008-ESTIMATE,N-MODEL-SUBGROUPS-0008-LOWER,N-MODEL-SUBGROUPS-0008-UPPER,N-MODEL-SUBGROUPS-0008-ROWS,N-MODEL-SUBGROUPS-0008-SERVICE_CLUSTERS
sex,F,sensitivity,0.0,0.0,0.0,19122,24,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0009-ESTIMATE,N-MODEL-SUBGROUPS-0009-LOWER,N-MODEL-SUBGROUPS-0009-UPPER,N-MODEL-SUBGROUPS-0009-ROWS,N-MODEL-SUBGROUPS-0009-SERVICE_CLUSTERS
sex,F,specificity,0.9535031847133758,0.9398973211996984,0.9670242137857566,19122,24,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0010-ESTIMATE,N-MODEL-SUBGROUPS-0010-LOWER,N-MODEL-SUBGROUPS-0010-UPPER,N-MODEL-SUBGROUPS-0010-ROWS,N-MODEL-SUBGROUPS-0010-SERVICE_CLUSTERS
sex,F,brier,0.2522232909381864,0.23862420439823878,0.26532536870039153,19122,24,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0011-ESTIMATE,N-MODEL-SUBGROUPS-0011-LOWER,N-MODEL-SUBGROUPS-0011-UPPER,N-MODEL-SUBGROUPS-0011-ROWS,N-MODEL-SUBGROUPS-0011-SERVICE_CLUSTERS
sex,F,net_benefit,-0.0685157355264534,-0.08846570811428672,-0.04867556990508523,19122,24,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0012-ESTIMATE,N-MODEL-SUBGROUPS-0012-LOWER,N-MODEL-SUBGROUPS-0012-UPPER,N-MODEL-SUBGROUPS-0012-ROWS,N-MODEL-SUBGROUPS-0012-SERVICE_CLUSTERS
sex,M,sensitivity,0.0005506607929515419,0.0,0.0017574692442882249,19013,24,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0013-ESTIMATE,N-MODEL-SUBGROUPS-0013-LOWER,N-MODEL-SUBGROUPS-0013-UPPER,N-MODEL-SUBGROUPS-0013-ROWS,N-MODEL-SUBGROUPS-0013-SERVICE_CLUSTERS
sex,M,specificity,0.9554573472117229,0.939877300613497,0.9701086249738375,19013,24,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0014-ESTIMATE,N-MODEL-SUBGROUPS-0014-LOWER,N-MODEL-SUBGROUPS-0014-UPPER,N-MODEL-SUBGROUPS-0014-ROWS,N-MODEL-SUBGROUPS-0014-SERVICE_CLUSTERS
sex,M,brier,0.2512385086714353,0.23858500299116053,0.26381414463099817,19013,24,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0015-ESTIMATE,N-MODEL-SUBGROUPS-0015-LOWER,N-MODEL-SUBGROUPS-0015-UPPER,N-MODEL-SUBGROUPS-0015-ROWS,N-MODEL-SUBGROUPS-0015-SERVICE_CLUSTERS
sex,M,net_benefit,-0.06568082226288384,-0.08890964615783618,-0.04396356761782125,19013,24,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0016-ESTIMATE,N-MODEL-SUBGROUPS-0016-LOWER,N-MODEL-SUBGROUPS-0016-UPPER,N-MODEL-SUBGROUPS-0016-ROWS,N-MODEL-SUBGROUPS-0016-SERVICE_CLUSTERS
age_band,age_40_64,sensitivity,0.000493339911198816,0.0,0.001561727290473711,20874,24,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0017-ESTIMATE,N-MODEL-SUBGROUPS-0017-LOWER,N-MODEL-SUBGROUPS-0017-UPPER,N-MODEL-SUBGROUPS-0017-ROWS,N-MODEL-SUBGROUPS-0017-SERVICE_CLUSTERS
age_band,age_40_64,specificity,0.9539979837639943,0.9391184786368922,0.9683714539090784,20874,24,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0018-ESTIMATE,N-MODEL-SUBGROUPS-0018-LOWER,N-MODEL-SUBGROUPS-0018-UPPER,N-MODEL-SUBGROUPS-0018-ROWS,N-MODEL-SUBGROUPS-0018-SERVICE_CLUSTERS
age_band,age_40_64,brier,0.2524991245554278,0.23919965327972256,0.2652482512281844,20874,24,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0019-ESTIMATE,N-MODEL-SUBGROUPS-0019-LOWER,N-MODEL-SUBGROUPS-0019-UPPER,N-MODEL-SUBGROUPS-0019-ROWS,N-MODEL-SUBGROUPS-0019-SERVICE_CLUSTERS
age_band,age_40_64,net_benefit,-0.06771960081289743,-0.08992572347252997,-0.04654904898751465,20874,24,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0020-ESTIMATE,N-MODEL-SUBGROUPS-0020-LOWER,N-MODEL-SUBGROUPS-0020-UPPER,N-MODEL-SUBGROUPS-0020-ROWS,N-MODEL-SUBGROUPS-0020-SERVICE_CLUSTERS
age_band,age_ge_65,sensitivity,0.0,0.0,0.0,11833,24,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0021-ESTIMATE,N-MODEL-SUBGROUPS-0021-LOWER,N-MODEL-SUBGROUPS-0021-UPPER,N-MODEL-SUBGROUPS-0021-ROWS,N-MODEL-SUBGROUPS-0021-SERVICE_CLUSTERS
age_band,age_ge_65,specificity,0.9549054318457095,0.9411213542737777,0.9685437594395633,11833,24,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0022-ESTIMATE,N-MODEL-SUBGROUPS-0022-LOWER,N-MODEL-SUBGROUPS-0022-UPPER,N-MODEL-SUBGROUPS-0022-ROWS,N-MODEL-SUBGROUPS-0022-SERVICE_CLUSTERS
age_band,age_ge_65,brier,0.2489229850376067,0.23575454446095373,0.2618906852594806,11833,24,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0023-ESTIMATE,N-MODEL-SUBGROUPS-0023-LOWER,N-MODEL-SUBGROUPS-0023-UPPER,N-MODEL-SUBGROUPS-0023-ROWS,N-MODEL-SUBGROUPS-0023-SERVICE_CLUSTERS
age_band,age_ge_65,net_benefit,-0.06673575682635982,-0.08727535640952096,-0.046555407603241165,11833,24,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0024-ESTIMATE,N-MODEL-SUBGROUPS-0024-LOWER,N-MODEL-SUBGROUPS-0024-UPPER,N-MODEL-SUBGROUPS-0024-ROWS,N-MODEL-SUBGROUPS-0024-SERVICE_CLUSTERS
age_band,age_lt_40,sensitivity,0.0,0.0,0.0,5428,24,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0025-ESTIMATE,N-MODEL-SUBGROUPS-0025-LOWER,N-MODEL-SUBGROUPS-0025-UPPER,N-MODEL-SUBGROUPS-0025-ROWS,N-MODEL-SUBGROUPS-0025-SERVICE_CLUSTERS
age_band,age_lt_40,specificity,0.9553918559443422,0.9390044464861983,0.9710645648887929,5428,24,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0026-ESTIMATE,N-MODEL-SUBGROUPS-0026-LOWER,N-MODEL-SUBGROUPS-0026-UPPER,N-MODEL-SUBGROUPS-0026-ROWS,N-MODEL-SUBGROUPS-0026-SERVICE_CLUSTERS
age_band,age_lt_40,brier,0.2549077241654385,0.24126445444215383,0.2684080618912121,5428,24,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0027-ESTIMATE,N-MODEL-SUBGROUPS-0027-LOWER,N-MODEL-SUBGROUPS-0027-UPPER,N-MODEL-SUBGROUPS-0027-ROWS,N-MODEL-SUBGROUPS-0027-SERVICE_CLUSTERS
age_band,age_lt_40,net_benefit,-0.06552767327308691,-0.09015838771909475,-0.0424609698536223,5428,24,service_cluster_percentile_bootstrap,reported,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0028-ESTIMATE,N-MODEL-SUBGROUPS-0028-LOWER,N-MODEL-SUBGROUPS-0028-UPPER,N-MODEL-SUBGROUPS-0028-ROWS,N-MODEL-SUBGROUPS-0028-SERVICE_CLUSTERS
service,A-CARD,sensitivity,0.0,,,1794,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0029-ESTIMATE,,,N-MODEL-SUBGROUPS-0029-ROWS,N-MODEL-SUBGROUPS-0029-SERVICE_CLUSTERS
service,A-CARD,specificity,0.9501915708812261,,,1794,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0030-ESTIMATE,,,N-MODEL-SUBGROUPS-0030-ROWS,N-MODEL-SUBGROUPS-0030-SERVICE_CLUSTERS
service,A-CARD,brier,0.2867970847603122,,,1794,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0031-ESTIMATE,,,N-MODEL-SUBGROUPS-0031-ROWS,N-MODEL-SUBGROUPS-0031-SERVICE_CLUSTERS
service,A-CARD,net_benefit,-0.07093821510297482,,,1794,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0032-ESTIMATE,,,N-MODEL-SUBGROUPS-0032-ROWS,N-MODEL-SUBGROUPS-0032-SERVICE_CLUSTERS
service,A-ENT,sensitivity,0.0,,,1715,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0033-ESTIMATE,,,N-MODEL-SUBGROUPS-0033-ROWS,N-MODEL-SUBGROUPS-0033-SERVICE_CLUSTERS
service,A-ENT,specificity,0.987565445026178,,,1715,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0034-ESTIMATE,,,N-MODEL-SUBGROUPS-0034-ROWS,N-MODEL-SUBGROUPS-0034-SERVICE_CLUSTERS
service,A-ENT,brier,0.22880906790670552,,,1715,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0035-ESTIMATE,,,N-MODEL-SUBGROUPS-0035-ROWS,N-MODEL-SUBGROUPS-0035-SERVICE_CLUSTERS
service,A-ENT,net_benefit,-0.018075801749271137,,,1715,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0036-ESTIMATE,,,N-MODEL-SUBGROUPS-0036-ROWS,N-MODEL-SUBGROUPS-0036-SERVICE_CLUSTERS
service,A-GEN,sensitivity,0.0,,,1502,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0037-ESTIMATE,,,N-MODEL-SUBGROUPS-0037-ROWS,N-MODEL-SUBGROUPS-0037-SERVICE_CLUSTERS
service,A-GEN,specificity,0.913658881811748,,,1502,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0038-ESTIMATE,,,N-MODEL-SUBGROUPS-0038-ROWS,N-MODEL-SUBGROUPS-0038-SERVICE_CLUSTERS
service,A-GEN,brier,0.26546422047270307,,,1502,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0039-ESTIMATE,,,N-MODEL-SUBGROUPS-0039-ROWS,N-MODEL-SUBGROUPS-0039-SERVICE_CLUSTERS
service,A-GEN,net_benefit,-0.13252505431354686,,,1502,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0040-ESTIMATE,,,N-MODEL-SUBGROUPS-0040-ROWS,N-MODEL-SUBGROUPS-0040-SERVICE_CLUSTERS
service,A-GYN,sensitivity,0.0,,,1543,1,suppressed_fewer_than_five_service_clusters_or_twenty_episodes,suppressed,invalidated_for_clinical_use_sensitivity_only,invalidated_sensitivity_only,N-MODEL-SUBGROUPS-0041-ESTIMATE,,,N-MODEL-SUBGROUPS-0041-ROWS,N-MODEL-SUBGROUPS-0041-SERVICE_CLUSTERS
