site,service_code,week,cases,cancels,supplied_rate,supplied_alert,reconciled_rate,rate_reconciliation_error,seasonal_expected_rate,shrunk_rate,z_value,p_value,baseline_prior_weeks,baseline_available,baseline_rule,maturity_status,minimum_denominator_met,direction,q_value_by,candidate,persistent_breach,reproducible_alert,budget_suppressed,supplied_alert_reproduced,quantity_status,limitation,cases_number_id,cancels_number_id,supplied_rate_number_id,reconciled_rate_number_id,rate_reconciliation_error_number_id,baseline_prior_weeks_number_id,seasonal_expected_rate_number_id,shrunk_rate_number_id,z_value_number_id,p_value_number_id,q_value_by_number_id
A,A-CARD,2025-07-28,12,2,0.1667,False,0.16666666666666666,3.333333333332966e-05,,,,,0,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,False,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0001-CASES,N-MONITOR-REPLAY-0001-CANCELS,N-MONITOR-REPLAY-0001-SUPPLIED_RATE,N-MONITOR-REPLAY-0001-RECONCILED_RATE,N-MONITOR-REPLAY-0001-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0001-BASELINE_PRIOR_WEEKS,,,,,
A,A-ENT,2025-07-28,13,0,0.0,False,0.0,0.0,,,,,0,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,False,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0002-CASES,N-MONITOR-REPLAY-0002-CANCELS,N-MONITOR-REPLAY-0002-SUPPLIED_RATE,N-MONITOR-REPLAY-0002-RECONCILED_RATE,N-MONITOR-REPLAY-0002-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0002-BASELINE_PRIOR_WEEKS,,,,,
A,A-GEN,2025-07-28,10,1,0.1,False,0.1,0.0,,,,,0,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,False,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0003-CASES,N-MONITOR-REPLAY-0003-CANCELS,N-MONITOR-REPLAY-0003-SUPPLIED_RATE,N-MONITOR-REPLAY-0003-RECONCILED_RATE,N-MONITOR-REPLAY-0003-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0003-BASELINE_PRIOR_WEEKS,,,,,
A,A-GYN,2025-07-28,15,0,0.0,False,0.0,0.0,,,,,0,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,False,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0004-CASES,N-MONITOR-REPLAY-0004-CANCELS,N-MONITOR-REPLAY-0004-SUPPLIED_RATE,N-MONITOR-REPLAY-0004-RECONCILED_RATE,N-MONITOR-REPLAY-0004-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0004-BASELINE_PRIOR_WEEKS,,,,,
A,A-NEURO,2025-07-28,14,1,0.0714,False,0.07142857142857142,2.8571428571419477e-05,,,,,0,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,False,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0005-CASES,N-MONITOR-REPLAY-0005-CANCELS,N-MONITOR-REPLAY-0005-SUPPLIED_RATE,N-MONITOR-REPLAY-0005-RECONCILED_RATE,N-MONITOR-REPLAY-0005-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0005-BASELINE_PRIOR_WEEKS,,,,,
A,A-OPHT,2025-07-28,18,2,0.1111,False,0.1111111111111111,1.1111111111100636e-05,,,,,0,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,False,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0006-CASES,N-MONITOR-REPLAY-0006-CANCELS,N-MONITOR-REPLAY-0006-SUPPLIED_RATE,N-MONITOR-REPLAY-0006-RECONCILED_RATE,N-MONITOR-REPLAY-0006-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0006-BASELINE_PRIOR_WEEKS,,,,,
A,A-ORTH,2025-07-28,11,1,0.0909,False,0.09090909090909091,9.090909090916921e-06,,,,,0,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,False,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0007-CASES,N-MONITOR-REPLAY-0007-CANCELS,N-MONITOR-REPLAY-0007-SUPPLIED_RATE,N-MONITOR-REPLAY-0007-RECONCILED_RATE,N-MONITOR-REPLAY-0007-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0007-BASELINE_PRIOR_WEEKS,,,,,
A,A-PAED,2025-07-28,8,0,0.0,False,0.0,0.0,,,,,0,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,False,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0008-CASES,N-MONITOR-REPLAY-0008-CANCELS,N-MONITOR-REPLAY-0008-SUPPLIED_RATE,N-MONITOR-REPLAY-0008-RECONCILED_RATE,N-MONITOR-REPLAY-0008-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0008-BASELINE_PRIOR_WEEKS,,,,,
A,A-PLAS,2025-07-28,17,2,0.1176,False,0.11764705882352941,4.705882352941393e-05,,,,,0,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,False,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0009-CASES,N-MONITOR-REPLAY-0009-CANCELS,N-MONITOR-REPLAY-0009-SUPPLIED_RATE,N-MONITOR-REPLAY-0009-RECONCILED_RATE,N-MONITOR-REPLAY-0009-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0009-BASELINE_PRIOR_WEEKS,,,,,
A,A-THOR,2025-07-28,20,0,0.0,False,0.0,0.0,,,,,0,False,strictly_prior_weeks_expanding_service_plus_calendar_month_shrinkage,historical_assumed_mature_no_as_of_timestamp,True,none,,False,False,False,False,True,recomputed_monitor_replay,strictly_prior_replay_avoids_future_leakage_but_one_year_cannot_validate_seasonality_and_no_as_of_timestamp_proves_maturity,N-MONITOR-REPLAY-0010-CASES,N-MONITOR-REPLAY-0010-CANCELS,N-MONITOR-REPLAY-0010-SUPPLIED_RATE,N-MONITOR-REPLAY-0010-RECONCILED_RATE,N-MONITOR-REPLAY-0010-RATE_RECONCILIATION_ERROR,N-MONITOR-REPLAY-0010-BASELINE_PRIOR_WEEKS,,,,,
