icc,risk_difference,simulated_power,simulated_power_lower,simulated_power_upper,monte_carlo_standard_error,successful_simulations,favorable_detections,simulations,independent_components,weeks,empirical_lower_critical_value,analysis,quantity_status,limitation,icc_number_id,risk_difference_number_id,simulated_power_number_id,simulated_power_lower_number_id,simulated_power_upper_number_id,monte_carlo_standard_error_number_id,successful_simulations_number_id,favorable_detections_number_id,simulations_number_id,independent_components_number_id,weeks_number_id,empirical_lower_critical_value_number_id
0.01,0.0,0.018,0.01302999144428223,0.024818042134845595,0.0029728773940409987,2000,36,2000,8,48,-2.461369731682615,two_way_fixed_effects_cluster_robust_statistic_empirically_calibrated_under_null,provisional_simulated_planning_only,normal_approximate_binomial_persistent_component_and_AR1_working_correlation_proxy_baseline_fixed_final_analysis_and_inferred_components,N-POWER-SCENARIOS-0001-ICC,N-POWER-SCENARIOS-0001-RISK_DIFFERENCE,N-POWER-SCENARIOS-0001-SIMULATED_POWER,N-POWER-SCENARIOS-0001-SIMULATED_POWER_LOWER,N-POWER-SCENARIOS-0001-SIMULATED_POWER_UPPER,N-POWER-SCENARIOS-0001-MONTE_CARLO_STANDARD_ERROR,N-POWER-SCENARIOS-0001-SUCCESSFUL_SIMULATIONS,N-POWER-SCENARIOS-0001-FAVORABLE_DETECTIONS,N-POWER-SCENARIOS-0001-SIMULATIONS,N-POWER-SCENARIOS-0001-INDEPENDENT_COMPONENTS,N-POWER-SCENARIOS-0001-WEEKS,N-POWER-SCENARIOS-0001-EMPIRICAL_LOWER_CRITICAL_VALUE
0.01,-0.01,0.192,0.17533496798776405,0.20984593313748773,0.008807269724494646,2000,384,2000,8,48,-2.461369731682615,two_way_fixed_effects_cluster_robust_statistic_empirically_calibrated_under_null,provisional_simulated_planning_only,normal_approximate_binomial_persistent_component_and_AR1_working_correlation_proxy_baseline_fixed_final_analysis_and_inferred_components,N-POWER-SCENARIOS-0002-ICC,N-POWER-SCENARIOS-0002-RISK_DIFFERENCE,N-POWER-SCENARIOS-0002-SIMULATED_POWER,N-POWER-SCENARIOS-0002-SIMULATED_POWER_LOWER,N-POWER-SCENARIOS-0002-SIMULATED_POWER_UPPER,N-POWER-SCENARIOS-0002-MONTE_CARLO_STANDARD_ERROR,N-POWER-SCENARIOS-0002-SUCCESSFUL_SIMULATIONS,N-POWER-SCENARIOS-0002-FAVORABLE_DETECTIONS,N-POWER-SCENARIOS-0002-SIMULATIONS,N-POWER-SCENARIOS-0002-INDEPENDENT_COMPONENTS,N-POWER-SCENARIOS-0002-WEEKS,N-POWER-SCENARIOS-0002-EMPIRICAL_LOWER_CRITICAL_VALUE
0.01,-0.02,0.5715,0.5496954397272684,0.5930304225115124,0.011065436051055557,2000,1143,2000,8,48,-2.461369731682615,two_way_fixed_effects_cluster_robust_statistic_empirically_calibrated_under_null,provisional_simulated_planning_only,normal_approximate_binomial_persistent_component_and_AR1_working_correlation_proxy_baseline_fixed_final_analysis_and_inferred_components,N-POWER-SCENARIOS-0003-ICC,N-POWER-SCENARIOS-0003-RISK_DIFFERENCE,N-POWER-SCENARIOS-0003-SIMULATED_POWER,N-POWER-SCENARIOS-0003-SIMULATED_POWER_LOWER,N-POWER-SCENARIOS-0003-SIMULATED_POWER_UPPER,N-POWER-SCENARIOS-0003-MONTE_CARLO_STANDARD_ERROR,N-POWER-SCENARIOS-0003-SUCCESSFUL_SIMULATIONS,N-POWER-SCENARIOS-0003-FAVORABLE_DETECTIONS,N-POWER-SCENARIOS-0003-SIMULATIONS,N-POWER-SCENARIOS-0003-INDEPENDENT_COMPONENTS,N-POWER-SCENARIOS-0003-WEEKS,N-POWER-SCENARIOS-0003-EMPIRICAL_LOWER_CRITICAL_VALUE
0.01,-0.03,0.8745,0.8592592943847576,0.8883048372015839,0.007407757757918383,2000,1749,2000,8,48,-2.461369731682615,two_way_fixed_effects_cluster_robust_statistic_empirically_calibrated_under_null,provisional_simulated_planning_only,normal_approximate_binomial_persistent_component_and_AR1_working_correlation_proxy_baseline_fixed_final_analysis_and_inferred_components,N-POWER-SCENARIOS-0004-ICC,N-POWER-SCENARIOS-0004-RISK_DIFFERENCE,N-POWER-SCENARIOS-0004-SIMULATED_POWER,N-POWER-SCENARIOS-0004-SIMULATED_POWER_LOWER,N-POWER-SCENARIOS-0004-SIMULATED_POWER_UPPER,N-POWER-SCENARIOS-0004-MONTE_CARLO_STANDARD_ERROR,N-POWER-SCENARIOS-0004-SUCCESSFUL_SIMULATIONS,N-POWER-SCENARIOS-0004-FAVORABLE_DETECTIONS,N-POWER-SCENARIOS-0004-SIMULATIONS,N-POWER-SCENARIOS-0004-INDEPENDENT_COMPONENTS,N-POWER-SCENARIOS-0004-WEEKS,N-POWER-SCENARIOS-0004-EMPIRICAL_LOWER_CRITICAL_VALUE
0.01,-0.04,0.9745,0.9666286379543997,0.9805520841756913,0.00352489361541593,2000,1949,2000,8,48,-2.461369731682615,two_way_fixed_effects_cluster_robust_statistic_empirically_calibrated_under_null,provisional_simulated_planning_only,normal_approximate_binomial_persistent_component_and_AR1_working_correlation_proxy_baseline_fixed_final_analysis_and_inferred_components,N-POWER-SCENARIOS-0005-ICC,N-POWER-SCENARIOS-0005-RISK_DIFFERENCE,N-POWER-SCENARIOS-0005-SIMULATED_POWER,N-POWER-SCENARIOS-0005-SIMULATED_POWER_LOWER,N-POWER-SCENARIOS-0005-SIMULATED_POWER_UPPER,N-POWER-SCENARIOS-0005-MONTE_CARLO_STANDARD_ERROR,N-POWER-SCENARIOS-0005-SUCCESSFUL_SIMULATIONS,N-POWER-SCENARIOS-0005-FAVORABLE_DETECTIONS,N-POWER-SCENARIOS-0005-SIMULATIONS,N-POWER-SCENARIOS-0005-INDEPENDENT_COMPONENTS,N-POWER-SCENARIOS-0005-WEEKS,N-POWER-SCENARIOS-0005-EMPIRICAL_LOWER_CRITICAL_VALUE
0.01,-0.05,0.9955,0.9914694867812403,0.9976307193630382,0.0014966211945579198,2000,1991,2000,8,48,-2.461369731682615,two_way_fixed_effects_cluster_robust_statistic_empirically_calibrated_under_null,provisional_simulated_planning_only,normal_approximate_binomial_persistent_component_and_AR1_working_correlation_proxy_baseline_fixed_final_analysis_and_inferred_components,N-POWER-SCENARIOS-0006-ICC,N-POWER-SCENARIOS-0006-RISK_DIFFERENCE,N-POWER-SCENARIOS-0006-SIMULATED_POWER,N-POWER-SCENARIOS-0006-SIMULATED_POWER_LOWER,N-POWER-SCENARIOS-0006-SIMULATED_POWER_UPPER,N-POWER-SCENARIOS-0006-MONTE_CARLO_STANDARD_ERROR,N-POWER-SCENARIOS-0006-SUCCESSFUL_SIMULATIONS,N-POWER-SCENARIOS-0006-FAVORABLE_DETECTIONS,N-POWER-SCENARIOS-0006-SIMULATIONS,N-POWER-SCENARIOS-0006-INDEPENDENT_COMPONENTS,N-POWER-SCENARIOS-0006-WEEKS,N-POWER-SCENARIOS-0006-EMPIRICAL_LOWER_CRITICAL_VALUE
0.01,-0.06,0.9995,0.9971731374967338,0.9999117322692944,0.000499874984371065,2000,1999,2000,8,48,-2.461369731682615,two_way_fixed_effects_cluster_robust_statistic_empirically_calibrated_under_null,provisional_simulated_planning_only,normal_approximate_binomial_persistent_component_and_AR1_working_correlation_proxy_baseline_fixed_final_analysis_and_inferred_components,N-POWER-SCENARIOS-0007-ICC,N-POWER-SCENARIOS-0007-RISK_DIFFERENCE,N-POWER-SCENARIOS-0007-SIMULATED_POWER,N-POWER-SCENARIOS-0007-SIMULATED_POWER_LOWER,N-POWER-SCENARIOS-0007-SIMULATED_POWER_UPPER,N-POWER-SCENARIOS-0007-MONTE_CARLO_STANDARD_ERROR,N-POWER-SCENARIOS-0007-SUCCESSFUL_SIMULATIONS,N-POWER-SCENARIOS-0007-FAVORABLE_DETECTIONS,N-POWER-SCENARIOS-0007-SIMULATIONS,N-POWER-SCENARIOS-0007-INDEPENDENT_COMPONENTS,N-POWER-SCENARIOS-0007-WEEKS,N-POWER-SCENARIOS-0007-EMPIRICAL_LOWER_CRITICAL_VALUE
0.01,-0.08,1.0,0.9980829527187469,0.9999999999999998,0.0,2000,2000,2000,8,48,-2.461369731682615,two_way_fixed_effects_cluster_robust_statistic_empirically_calibrated_under_null,provisional_simulated_planning_only,normal_approximate_binomial_persistent_component_and_AR1_working_correlation_proxy_baseline_fixed_final_analysis_and_inferred_components,N-POWER-SCENARIOS-0008-ICC,N-POWER-SCENARIOS-0008-RISK_DIFFERENCE,N-POWER-SCENARIOS-0008-SIMULATED_POWER,N-POWER-SCENARIOS-0008-SIMULATED_POWER_LOWER,N-POWER-SCENARIOS-0008-SIMULATED_POWER_UPPER,N-POWER-SCENARIOS-0008-MONTE_CARLO_STANDARD_ERROR,N-POWER-SCENARIOS-0008-SUCCESSFUL_SIMULATIONS,N-POWER-SCENARIOS-0008-FAVORABLE_DETECTIONS,N-POWER-SCENARIOS-0008-SIMULATIONS,N-POWER-SCENARIOS-0008-INDEPENDENT_COMPONENTS,N-POWER-SCENARIOS-0008-WEEKS,N-POWER-SCENARIOS-0008-EMPIRICAL_LOWER_CRITICAL_VALUE
0.01,-0.1,1.0,0.9980829527187469,0.9999999999999998,0.0,2000,2000,2000,8,48,-2.461369731682615,two_way_fixed_effects_cluster_robust_statistic_empirically_calibrated_under_null,provisional_simulated_planning_only,normal_approximate_binomial_persistent_component_and_AR1_working_correlation_proxy_baseline_fixed_final_analysis_and_inferred_components,N-POWER-SCENARIOS-0009-ICC,N-POWER-SCENARIOS-0009-RISK_DIFFERENCE,N-POWER-SCENARIOS-0009-SIMULATED_POWER,N-POWER-SCENARIOS-0009-SIMULATED_POWER_LOWER,N-POWER-SCENARIOS-0009-SIMULATED_POWER_UPPER,N-POWER-SCENARIOS-0009-MONTE_CARLO_STANDARD_ERROR,N-POWER-SCENARIOS-0009-SUCCESSFUL_SIMULATIONS,N-POWER-SCENARIOS-0009-FAVORABLE_DETECTIONS,N-POWER-SCENARIOS-0009-SIMULATIONS,N-POWER-SCENARIOS-0009-INDEPENDENT_COMPONENTS,N-POWER-SCENARIOS-0009-WEEKS,N-POWER-SCENARIOS-0009-EMPIRICAL_LOWER_CRITICAL_VALUE
0.03,0.0,0.019,0.013873784918301425,0.025970414566263898,0.003052785613173647,2000,38,2000,8,48,-2.5458951940273438,two_way_fixed_effects_cluster_robust_statistic_empirically_calibrated_under_null,provisional_simulated_planning_only,normal_approximate_binomial_persistent_component_and_AR1_working_correlation_proxy_baseline_fixed_final_analysis_and_inferred_components,N-POWER-SCENARIOS-0010-ICC,N-POWER-SCENARIOS-0010-RISK_DIFFERENCE,N-POWER-SCENARIOS-0010-SIMULATED_POWER,N-POWER-SCENARIOS-0010-SIMULATED_POWER_LOWER,N-POWER-SCENARIOS-0010-SIMULATED_POWER_UPPER,N-POWER-SCENARIOS-0010-MONTE_CARLO_STANDARD_ERROR,N-POWER-SCENARIOS-0010-SUCCESSFUL_SIMULATIONS,N-POWER-SCENARIOS-0010-FAVORABLE_DETECTIONS,N-POWER-SCENARIOS-0010-SIMULATIONS,N-POWER-SCENARIOS-0010-INDEPENDENT_COMPONENTS,N-POWER-SCENARIOS-0010-WEEKS,N-POWER-SCENARIOS-0010-EMPIRICAL_LOWER_CRITICAL_VALUE
