population_fraction,top_rows,targeted_rows,not_targeted_rows,mean_uplift_score,observed_not_targeted_minus_targeted_proxy_risk,cumulative_gain_per_total_population,random_targeting_gain,diagnostic_qini_gain,overlap_supported,causal_validity,quantity_status,limitation,population_fraction_number_id,top_rows_number_id,targeted_rows_number_id,not_targeted_rows_number_id,mean_uplift_score_number_id,random_targeting_gain_number_id,observed_not_targeted_minus_targeted_proxy_risk_number_id,cumulative_gain_per_total_population_number_id,diagnostic_qini_gain_number_id
0.1,1055,1055,0,0.851237345971564,,,0.0006351805494404409,,False,invalidated_not_causally_identified,diagnostic_observed_association,treatment_timing_and_assignment_mechanism_absent;no_randomization_or_defensible_propensity_contract;outcome_is_unauthorized_proxy;uplift_score_scale_not_defined_as_conditional_effect,N-UPLIFT-CURVE-0001-POPULATION_FRACTION,N-UPLIFT-CURVE-0001-TOP_ROWS,N-UPLIFT-CURVE-0001-TARGETED_ROWS,N-UPLIFT-CURVE-0001-NOT_TARGETED_ROWS,N-UPLIFT-CURVE-0001-MEAN_UPLIFT_SCORE,N-UPLIFT-CURVE-0001-RANDOM_TARGETING_GAIN,,,
0.2,2110,2110,0,0.7814756872037915,,,0.0012703610988808818,,False,invalidated_not_causally_identified,diagnostic_observed_association,treatment_timing_and_assignment_mechanism_absent;no_randomization_or_defensible_propensity_contract;outcome_is_unauthorized_proxy;uplift_score_scale_not_defined_as_conditional_effect,N-UPLIFT-CURVE-0002-POPULATION_FRACTION,N-UPLIFT-CURVE-0002-TOP_ROWS,N-UPLIFT-CURVE-0002-TARGETED_ROWS,N-UPLIFT-CURVE-0002-NOT_TARGETED_ROWS,N-UPLIFT-CURVE-0002-MEAN_UPLIFT_SCORE,N-UPLIFT-CURVE-0002-RANDOM_TARGETING_GAIN,,,
0.3,3164,3164,0,0.7333351137800254,,,0.0019055416483213224,,False,invalidated_not_causally_identified,diagnostic_observed_association,treatment_timing_and_assignment_mechanism_absent;no_randomization_or_defensible_propensity_contract;outcome_is_unauthorized_proxy;uplift_score_scale_not_defined_as_conditional_effect,N-UPLIFT-CURVE-0003-POPULATION_FRACTION,N-UPLIFT-CURVE-0003-TOP_ROWS,N-UPLIFT-CURVE-0003-TARGETED_ROWS,N-UPLIFT-CURVE-0003-NOT_TARGETED_ROWS,N-UPLIFT-CURVE-0003-MEAN_UPLIFT_SCORE,N-UPLIFT-CURVE-0003-RANDOM_TARGETING_GAIN,,,
0.4,4219,4219,0,0.694873216401991,,,0.0025407221977617636,,False,invalidated_not_causally_identified,diagnostic_observed_association,treatment_timing_and_assignment_mechanism_absent;no_randomization_or_defensible_propensity_contract;outcome_is_unauthorized_proxy;uplift_score_scale_not_defined_as_conditional_effect,N-UPLIFT-CURVE-0004-POPULATION_FRACTION,N-UPLIFT-CURVE-0004-TOP_ROWS,N-UPLIFT-CURVE-0004-TARGETED_ROWS,N-UPLIFT-CURVE-0004-NOT_TARGETED_ROWS,N-UPLIFT-CURVE-0004-MEAN_UPLIFT_SCORE,N-UPLIFT-CURVE-0004-RANDOM_TARGETING_GAIN,,,
0.5,5273,4308,965,0.6616266451735255,0.011721535064297767,0.005860767532148883,0.003175902747202204,0.002684864784946679,True,invalidated_not_causally_identified,diagnostic_observed_association,treatment_timing_and_assignment_mechanism_absent;no_randomization_or_defensible_propensity_contract;outcome_is_unauthorized_proxy;uplift_score_scale_not_defined_as_conditional_effect,N-UPLIFT-CURVE-0005-POPULATION_FRACTION,N-UPLIFT-CURVE-0005-TOP_ROWS,N-UPLIFT-CURVE-0005-TARGETED_ROWS,N-UPLIFT-CURVE-0005-NOT_TARGETED_ROWS,N-UPLIFT-CURVE-0005-MEAN_UPLIFT_SCORE,N-UPLIFT-CURVE-0005-RANDOM_TARGETING_GAIN,N-UPLIFT-CURVE-0005-OBSERVED_NOT_TARGETED_MINUS_TARGETED_PROXY_RISK,N-UPLIFT-CURVE-0005-CUMULATIVE_GAIN_PER_TOTAL_POPULATION,N-UPLIFT-CURVE-0005-DIAGNOSTIC_QINI_GAIN
0.6,6328,4308,2020,0.6308434734513274,0.006206734879616094,0.003724276343467726,0.0038110832966426447,-8.68069531749188e-05,True,invalidated_not_causally_identified,diagnostic_observed_association,treatment_timing_and_assignment_mechanism_absent;no_randomization_or_defensible_propensity_contract;outcome_is_unauthorized_proxy;uplift_score_scale_not_defined_as_conditional_effect,N-UPLIFT-CURVE-0006-POPULATION_FRACTION,N-UPLIFT-CURVE-0006-TOP_ROWS,N-UPLIFT-CURVE-0006-TARGETED_ROWS,N-UPLIFT-CURVE-0006-NOT_TARGETED_ROWS,N-UPLIFT-CURVE-0006-MEAN_UPLIFT_SCORE,N-UPLIFT-CURVE-0006-RANDOM_TARGETING_GAIN,N-UPLIFT-CURVE-0006-OBSERVED_NOT_TARGETED_MINUS_TARGETED_PROXY_RISK,N-UPLIFT-CURVE-0006-CUMULATIVE_GAIN_PER_TOTAL_POPULATION,N-UPLIFT-CURVE-0006-DIAGNOSTIC_QINI_GAIN
0.7,7383,4308,3075,0.6014564946498713,0.005451683764748513,0.0038165921899429426,0.004446263846083085,-0.0006296716561401427,True,invalidated_not_causally_identified,diagnostic_observed_association,treatment_timing_and_assignment_mechanism_absent;no_randomization_or_defensible_propensity_contract;outcome_is_unauthorized_proxy;uplift_score_scale_not_defined_as_conditional_effect,N-UPLIFT-CURVE-0007-POPULATION_FRACTION,N-UPLIFT-CURVE-0007-TOP_ROWS,N-UPLIFT-CURVE-0007-TARGETED_ROWS,N-UPLIFT-CURVE-0007-NOT_TARGETED_ROWS,N-UPLIFT-CURVE-0007-MEAN_UPLIFT_SCORE,N-UPLIFT-CURVE-0007-RANDOM_TARGETING_GAIN,N-UPLIFT-CURVE-0007-OBSERVED_NOT_TARGETED_MINUS_TARGETED_PROXY_RISK,N-UPLIFT-CURVE-0007-CUMULATIVE_GAIN_PER_TOTAL_POPULATION,N-UPLIFT-CURVE-0007-DIAGNOSTIC_QINI_GAIN
0.8,8437,4308,4129,0.572030176603058,0.005589751408442631,0.004471907133797694,0.005081444395523527,-0.0006095372617258331,True,invalidated_not_causally_identified,diagnostic_observed_association,treatment_timing_and_assignment_mechanism_absent;no_randomization_or_defensible_propensity_contract;outcome_is_unauthorized_proxy;uplift_score_scale_not_defined_as_conditional_effect,N-UPLIFT-CURVE-0008-POPULATION_FRACTION,N-UPLIFT-CURVE-0008-TOP_ROWS,N-UPLIFT-CURVE-0008-TARGETED_ROWS,N-UPLIFT-CURVE-0008-NOT_TARGETED_ROWS,N-UPLIFT-CURVE-0008-MEAN_UPLIFT_SCORE,N-UPLIFT-CURVE-0008-RANDOM_TARGETING_GAIN,N-UPLIFT-CURVE-0008-OBSERVED_NOT_TARGETED_MINUS_TARGETED_PROXY_RISK,N-UPLIFT-CURVE-0008-CUMULATIVE_GAIN_PER_TOTAL_POPULATION,N-UPLIFT-CURVE-0008-DIAGNOSTIC_QINI_GAIN
0.9,9492,4308,5184,0.54059599662874,0.005267439561195367,0.004740995288722399,0.005716624944963967,-0.0009756296562415685,True,invalidated_not_causally_identified,diagnostic_observed_association,treatment_timing_and_assignment_mechanism_absent;no_randomization_or_defensible_propensity_contract;outcome_is_unauthorized_proxy;uplift_score_scale_not_defined_as_conditional_effect,N-UPLIFT-CURVE-0009-POPULATION_FRACTION,N-UPLIFT-CURVE-0009-TOP_ROWS,N-UPLIFT-CURVE-0009-TARGETED_ROWS,N-UPLIFT-CURVE-0009-NOT_TARGETED_ROWS,N-UPLIFT-CURVE-0009-MEAN_UPLIFT_SCORE,N-UPLIFT-CURVE-0009-RANDOM_TARGETING_GAIN,N-UPLIFT-CURVE-0009-OBSERVED_NOT_TARGETED_MINUS_TARGETED_PROXY_RISK,N-UPLIFT-CURVE-0009-CUMULATIVE_GAIN_PER_TOTAL_POPULATION,N-UPLIFT-CURVE-0009-DIAGNOSTIC_QINI_GAIN
1.0,10546,4308,6238,0.5019794045135596,0.006351805494404408,0.0063518054944044075,0.006351805494404408,-8.673617379884035e-19,True,invalidated_not_causally_identified,diagnostic_observed_association,treatment_timing_and_assignment_mechanism_absent;no_randomization_or_defensible_propensity_contract;outcome_is_unauthorized_proxy;uplift_score_scale_not_defined_as_conditional_effect,N-UPLIFT-CURVE-0010-POPULATION_FRACTION,N-UPLIFT-CURVE-0010-TOP_ROWS,N-UPLIFT-CURVE-0010-TARGETED_ROWS,N-UPLIFT-CURVE-0010-NOT_TARGETED_ROWS,N-UPLIFT-CURVE-0010-MEAN_UPLIFT_SCORE,N-UPLIFT-CURVE-0010-RANDOM_TARGETING_GAIN,N-UPLIFT-CURVE-0010-OBSERVED_NOT_TARGETED_MINUS_TARGETED_PROXY_RISK,N-UPLIFT-CURVE-0010-CUMULATIVE_GAIN_PER_TOTAL_POPULATION,N-UPLIFT-CURVE-0010-DIAGNOSTIC_QINI_GAIN
