score_bin,rows,score_min,score_max,mean_score,targeted_rows,not_targeted_rows,targeted_fraction,observed_not_targeted_minus_targeted_proxy_risk,overlap_supported,score_scale_calibration_status,quantity_status,score_bin_number_id,rows_number_id,score_min_number_id,score_max_number_id,mean_score_number_id,targeted_rows_number_id,not_targeted_rows_number_id,targeted_fraction_number_id,observed_not_targeted_minus_targeted_proxy_risk_number_id
1,1054,0.0,0.2426,0.15421024667931688,0,1054,0.0,,False,not_interpretable_scale_not_defined_as_effect,diagnostic_observed_association,N-UPLIFT-OVERLAP-CALIBRATION-0001-SCORE_BIN,N-UPLIFT-OVERLAP-CALIBRATION-0001-ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0001-SCORE_MIN,N-UPLIFT-OVERLAP-CALIBRATION-0001-SCORE_MAX,N-UPLIFT-OVERLAP-CALIBRATION-0001-MEAN_SCORE,N-UPLIFT-OVERLAP-CALIBRATION-0001-TARGETED_ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0001-NOT_TARGETED_ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0001-TARGETED_FRACTION,
2,1055,0.2427,0.3308,0.2892119431279621,0,1055,0.0,,False,not_interpretable_scale_not_defined_as_effect,diagnostic_observed_association,N-UPLIFT-OVERLAP-CALIBRATION-0002-SCORE_BIN,N-UPLIFT-OVERLAP-CALIBRATION-0002-ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0002-SCORE_MIN,N-UPLIFT-OVERLAP-CALIBRATION-0002-SCORE_MAX,N-UPLIFT-OVERLAP-CALIBRATION-0002-MEAN_SCORE,N-UPLIFT-OVERLAP-CALIBRATION-0002-TARGETED_ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0002-NOT_TARGETED_ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0002-TARGETED_FRACTION,
3,1054,0.3308,0.3974,0.3659063567362429,0,1054,0.0,,False,not_interpretable_scale_not_defined_as_effect,diagnostic_observed_association,N-UPLIFT-OVERLAP-CALIBRATION-0003-SCORE_BIN,N-UPLIFT-OVERLAP-CALIBRATION-0003-ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0003-SCORE_MIN,N-UPLIFT-OVERLAP-CALIBRATION-0003-SCORE_MAX,N-UPLIFT-OVERLAP-CALIBRATION-0003-MEAN_SCORE,N-UPLIFT-OVERLAP-CALIBRATION-0003-TARGETED_ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0003-NOT_TARGETED_ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0003-TARGETED_FRACTION,
4,1055,0.3974,0.4522,0.42519033175355453,0,1055,0.0,,False,not_interpretable_scale_not_defined_as_effect,diagnostic_observed_association,N-UPLIFT-OVERLAP-CALIBRATION-0004-SCORE_BIN,N-UPLIFT-OVERLAP-CALIBRATION-0004-ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0004-SCORE_MIN,N-UPLIFT-OVERLAP-CALIBRATION-0004-SCORE_MAX,N-UPLIFT-OVERLAP-CALIBRATION-0004-MEAN_SCORE,N-UPLIFT-OVERLAP-CALIBRATION-0004-TARGETED_ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0004-NOT_TARGETED_ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0004-TARGETED_FRACTION,
5,1055,0.4524,0.5029,0.47698597156398104,0,1055,0.0,,False,not_interpretable_scale_not_defined_as_effect,diagnostic_observed_association,N-UPLIFT-OVERLAP-CALIBRATION-0005-SCORE_BIN,N-UPLIFT-OVERLAP-CALIBRATION-0005-ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0005-SCORE_MIN,N-UPLIFT-OVERLAP-CALIBRATION-0005-SCORE_MAX,N-UPLIFT-OVERLAP-CALIBRATION-0005-MEAN_SCORE,N-UPLIFT-OVERLAP-CALIBRATION-0005-TARGETED_ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0005-NOT_TARGETED_ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0005-TARGETED_FRACTION,
6,1054,0.5029,0.5544,0.5285457305502846,89,965,0.08444022770398482,0.06784653897653839,True,not_interpretable_scale_not_defined_as_effect,diagnostic_observed_association,N-UPLIFT-OVERLAP-CALIBRATION-0006-SCORE_BIN,N-UPLIFT-OVERLAP-CALIBRATION-0006-ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0006-SCORE_MIN,N-UPLIFT-OVERLAP-CALIBRATION-0006-SCORE_MAX,N-UPLIFT-OVERLAP-CALIBRATION-0006-MEAN_SCORE,N-UPLIFT-OVERLAP-CALIBRATION-0006-TARGETED_ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0006-NOT_TARGETED_ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0006-TARGETED_FRACTION,N-UPLIFT-OVERLAP-CALIBRATION-0006-OBSERVED_NOT_TARGETED_MINUS_TARGETED_PROXY_RISK
7,1055,0.5544,0.6052,0.579523981042654,1055,0,1.0,,False,not_interpretable_scale_not_defined_as_effect,diagnostic_observed_association,N-UPLIFT-OVERLAP-CALIBRATION-0007-SCORE_BIN,N-UPLIFT-OVERLAP-CALIBRATION-0007-ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0007-SCORE_MIN,N-UPLIFT-OVERLAP-CALIBRATION-0007-SCORE_MAX,N-UPLIFT-OVERLAP-CALIBRATION-0007-MEAN_SCORE,N-UPLIFT-OVERLAP-CALIBRATION-0007-TARGETED_ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0007-NOT_TARGETED_ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0007-TARGETED_FRACTION,
8,1054,0.6053,0.6706,0.6369626185958255,1054,0,1.0,,False,not_interpretable_scale_not_defined_as_effect,diagnostic_observed_association,N-UPLIFT-OVERLAP-CALIBRATION-0008-SCORE_BIN,N-UPLIFT-OVERLAP-CALIBRATION-0008-ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0008-SCORE_MIN,N-UPLIFT-OVERLAP-CALIBRATION-0008-SCORE_MAX,N-UPLIFT-OVERLAP-CALIBRATION-0008-MEAN_SCORE,N-UPLIFT-OVERLAP-CALIBRATION-0008-TARGETED_ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0008-NOT_TARGETED_ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0008-TARGETED_FRACTION,
9,1055,0.6707,0.7583,0.7117140284360189,1055,0,1.0,,False,not_interpretable_scale_not_defined_as_effect,diagnostic_observed_association,N-UPLIFT-OVERLAP-CALIBRATION-0009-SCORE_BIN,N-UPLIFT-OVERLAP-CALIBRATION-0009-ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0009-SCORE_MIN,N-UPLIFT-OVERLAP-CALIBRATION-0009-SCORE_MAX,N-UPLIFT-OVERLAP-CALIBRATION-0009-MEAN_SCORE,N-UPLIFT-OVERLAP-CALIBRATION-0009-TARGETED_ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0009-NOT_TARGETED_ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0009-TARGETED_FRACTION,
10,1055,0.7586,1.0,0.851237345971564,1055,0,1.0,,False,not_interpretable_scale_not_defined_as_effect,diagnostic_observed_association,N-UPLIFT-OVERLAP-CALIBRATION-0010-SCORE_BIN,N-UPLIFT-OVERLAP-CALIBRATION-0010-ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0010-SCORE_MIN,N-UPLIFT-OVERLAP-CALIBRATION-0010-SCORE_MAX,N-UPLIFT-OVERLAP-CALIBRATION-0010-MEAN_SCORE,N-UPLIFT-OVERLAP-CALIBRATION-0010-TARGETED_ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0010-NOT_TARGETED_ROWS,N-UPLIFT-OVERLAP-CALIBRATION-0010-TARGETED_FRACTION,
