evaluation,metric,value,n,p_value,quantity_status,limitation,value_number_id,n_number_id,p_value_number_id
reviewer_1_vs_reviewer_2,raw_agreement,0.85,120,,observed,no_adjudicated_ground_truth,N-EVALUATION-0001-VALUE,N-EVALUATION-0001-N,
reviewer_1_vs_reviewer_2,expected_agreement,0.5343055555555556,120,,observed,no_adjudicated_ground_truth,N-EVALUATION-0002-VALUE,N-EVALUATION-0002-N,
reviewer_1_vs_reviewer_2,chance_excess,0.3156944444444444,120,,observed,no_adjudicated_ground_truth,N-EVALUATION-0003-VALUE,N-EVALUATION-0003-N,
reviewer_1_vs_reviewer_2,cohen_kappa,0.6779003877124962,120,,observed,no_adjudicated_ground_truth,N-EVALUATION-0004-VALUE,N-EVALUATION-0004-N,
reviewer_1_vs_reviewer_2,gwet_ac1,0.7199170124481328,120,,observed,no_adjudicated_ground_truth,N-EVALUATION-0005-VALUE,N-EVALUATION-0005-N,
llm_judge_vs_reviewer_1,n,120.0,120,,observed,reviewer_specific_no_adjudication_shared_model_family,N-EVALUATION-0006-VALUE,N-EVALUATION-0006-N,
llm_judge_vs_reviewer_1,prevalence,0.6583333333333333,120,,observed,reviewer_specific_no_adjudication_shared_model_family,N-EVALUATION-0007-VALUE,N-EVALUATION-0007-N,
llm_judge_vs_reviewer_1,auc,0.47653596789132446,120,,observed,reviewer_specific_no_adjudication_shared_model_family,N-EVALUATION-0008-VALUE,N-EVALUATION-0008-N,
llm_judge_vs_reviewer_1,sensitivity,0.9367088607594937,120,,observed,reviewer_specific_no_adjudication_shared_model_family,N-EVALUATION-0009-VALUE,N-EVALUATION-0009-N,
llm_judge_vs_reviewer_1,specificity,0.14634146341463414,120,,observed,reviewer_specific_no_adjudication_shared_model_family,N-EVALUATION-0010-VALUE,N-EVALUATION-0010-N,
llm_judge_vs_reviewer_1,ppv,0.6788990825688074,120,,observed,reviewer_specific_no_adjudication_shared_model_family,N-EVALUATION-0011-VALUE,N-EVALUATION-0011-N,
llm_judge_vs_reviewer_1,npv,0.5454545454545454,120,,observed,reviewer_specific_no_adjudication_shared_model_family,N-EVALUATION-0012-VALUE,N-EVALUATION-0012-N,
llm_judge_vs_reviewer_1,balanced_accuracy,0.5415251620870639,120,0.0001,observed,reviewer_specific_no_adjudication_shared_model_family,N-EVALUATION-0013-VALUE,N-EVALUATION-0013-N,N-EVALUATION-0013-P_VALUE
llm_judge_vs_reviewer_1,brier,0.2697941416666667,120,,assumed,reviewer_specific_no_adjudication_shared_model_family,N-EVALUATION-0014-VALUE,N-EVALUATION-0014-N,
llm_judge_vs_reviewer_1,log_loss,1.0361829510172504,120,,assumed,reviewer_specific_no_adjudication_shared_model_family,N-EVALUATION-0015-VALUE,N-EVALUATION-0015-N,
llm_judge_vs_reviewer_1,calibration_intercept,nan,120,,assumed,reviewer_specific_no_adjudication_shared_model_family,N-EVALUATION-0016-VALUE,N-EVALUATION-0016-N,
llm_judge_vs_reviewer_1,calibration_slope,nan,120,,assumed,reviewer_specific_no_adjudication_shared_model_family,N-EVALUATION-0017-VALUE,N-EVALUATION-0017-N,
llm_judge_vs_reviewer_2,n,120.0,120,,observed,reviewer_specific_no_adjudication_shared_model_family,N-EVALUATION-0018-VALUE,N-EVALUATION-0018-N,
llm_judge_vs_reviewer_2,prevalence,0.6083333333333333,120,,observed,reviewer_specific_no_adjudication_shared_model_family,N-EVALUATION-0019-VALUE,N-EVALUATION-0019-N,
llm_judge_vs_reviewer_2,auc,0.5540658700087439,120,,observed,reviewer_specific_no_adjudication_shared_model_family,N-EVALUATION-0020-VALUE,N-EVALUATION-0020-N,
llm_judge_vs_reviewer_2,sensitivity,0.958904109589041,120,,observed,reviewer_specific_no_adjudication_shared_model_family,N-EVALUATION-0021-VALUE,N-EVALUATION-0021-N,
llm_judge_vs_reviewer_2,specificity,0.1702127659574468,120,,observed,reviewer_specific_no_adjudication_shared_model_family,N-EVALUATION-0022-VALUE,N-EVALUATION-0022-N,
llm_judge_vs_reviewer_2,ppv,0.6422018348623854,120,,observed,reviewer_specific_no_adjudication_shared_model_family,N-EVALUATION-0023-VALUE,N-EVALUATION-0023-N,
llm_judge_vs_reviewer_2,npv,0.7272727272727273,120,,observed,reviewer_specific_no_adjudication_shared_model_family,N-EVALUATION-0024-VALUE,N-EVALUATION-0024-N,
llm_judge_vs_reviewer_2,balanced_accuracy,0.5645584377732439,120,0.0001,observed,reviewer_specific_no_adjudication_shared_model_family,N-EVALUATION-0025-VALUE,N-EVALUATION-0025-N,N-EVALUATION-0025-P_VALUE
llm_judge_vs_reviewer_2,brier,0.28202747499999997,120,,assumed,reviewer_specific_no_adjudication_shared_model_family,N-EVALUATION-0026-VALUE,N-EVALUATION-0026-N,
llm_judge_vs_reviewer_2,log_loss,0.8643282249350137,120,,assumed,reviewer_specific_no_adjudication_shared_model_family,N-EVALUATION-0027-VALUE,N-EVALUATION-0027-N,
llm_judge_vs_reviewer_2,calibration_intercept,nan,120,,assumed,reviewer_specific_no_adjudication_shared_model_family,N-EVALUATION-0028-VALUE,N-EVALUATION-0028-N,
llm_judge_vs_reviewer_2,calibration_slope,nan,120,,assumed,reviewer_specific_no_adjudication_shared_model_family,N-EVALUATION-0029-VALUE,N-EVALUATION-0029-N,
recommendation_model_score_live_vs_event_cancellation_proxy,n,38135.0,38135,,sensitivity_only,outcome_is_not_authorized_day_of_surgery_cancellation_mapping,N-EVALUATION-0030-VALUE,N-EVALUATION-0030-N,
recommendation_model_score_live_vs_event_cancellation_proxy,prevalence,0.09618460731611381,38135,,sensitivity_only,outcome_is_not_authorized_day_of_surgery_cancellation_mapping,N-EVALUATION-0031-VALUE,N-EVALUATION-0031-N,
recommendation_model_score_live_vs_event_cancellation_proxy,auc,0.012299786760455744,38135,,sensitivity_only,outcome_is_not_authorized_day_of_surgery_cancellation_mapping,N-EVALUATION-0032-VALUE,N-EVALUATION-0032-N,
recommendation_model_score_live_vs_event_cancellation_proxy,sensitivity,0.0002726281352235551,38135,,sensitivity_only,outcome_is_not_authorized_day_of_surgery_cancellation_mapping,N-EVALUATION-0033-VALUE,N-EVALUATION-0033-N,
recommendation_model_score_live_vs_event_cancellation_proxy,specificity,0.9544781965358169,38135,,sensitivity_only,outcome_is_not_authorized_day_of_surgery_cancellation_mapping,N-EVALUATION-0034-VALUE,N-EVALUATION-0034-N,
recommendation_model_score_live_vs_event_cancellation_proxy,ppv,0.0006369426751592356,38135,,sensitivity_only,outcome_is_not_authorized_day_of_surgery_cancellation_mapping,N-EVALUATION-0035-VALUE,N-EVALUATION-0035-N,
recommendation_model_score_live_vs_event_cancellation_proxy,npv,0.8997128401476822,38135,,sensitivity_only,outcome_is_not_authorized_day_of_surgery_cancellation_mapping,N-EVALUATION-0036-VALUE,N-EVALUATION-0036-N,
