comparison,n_before,n_after,diff,p_value,supplied_n_before,supplied_n_after,supplied_diff,supplied_p_value,in_deck,count_matches,diff_matches_rounded,p_matches_rounded,reproduction_status,quantity_status,p_adjusted_holm,supplied_p_adjusted_holm,n_before_number_id,n_after_number_id,diff_number_id,p_value_number_id,supplied_n_before_number_id,supplied_n_after_number_id,supplied_diff_number_id,supplied_p_value_number_id,p_adjusted_holm_number_id,supplied_p_adjusted_holm_number_id
service:A-NEURO,1513,335,0.010137021436110921,0.6324690037810812,1432,441,-0.0015,0.9301,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0001-N_BEFORE,N-LEGACY51-0001-N_AFTER,N-LEGACY51-0001-DIFF,N-LEGACY51-0001-P_VALUE,N-LEGACY51-0001-SUPPLIED_N_BEFORE,N-LEGACY51-0001-SUPPLIED_N_AFTER,N-LEGACY51-0001-SUPPLIED_DIFF,N-LEGACY51-0001-SUPPLIED_P_VALUE,N-LEGACY51-0001-P_ADJUSTED_HOLM,N-LEGACY51-0001-SUPPLIED_P_ADJUSTED_HOLM
service:B-THOR,1181,304,-0.06971957306475333,0.0024537113693806844,1120,353,-0.0565,0.0012,False,False,False,False,unreproduced,unreproduced,0.1188452142286298,0.05519999999999999,N-LEGACY51-0002-N_BEFORE,N-LEGACY51-0002-N_AFTER,N-LEGACY51-0002-DIFF,N-LEGACY51-0002-P_VALUE,N-LEGACY51-0002-SUPPLIED_N_BEFORE,N-LEGACY51-0002-SUPPLIED_N_AFTER,N-LEGACY51-0002-SUPPLIED_DIFF,N-LEGACY51-0002-SUPPLIED_P_VALUE,N-LEGACY51-0002-P_ADJUSTED_HOLM,N-LEGACY51-0002-SUPPLIED_P_ADJUSTED_HOLM
service:A-ORTH,1431,392,-0.01231299647741696,0.5559289358146313,1371,477,-0.0191,0.2769,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0003-N_BEFORE,N-LEGACY51-0003-N_AFTER,N-LEGACY51-0003-DIFF,N-LEGACY51-0003-P_VALUE,N-LEGACY51-0003-SUPPLIED_N_BEFORE,N-LEGACY51-0003-SUPPLIED_N_AFTER,N-LEGACY51-0003-SUPPLIED_DIFF,N-LEGACY51-0003-SUPPLIED_P_VALUE,N-LEGACY51-0003-P_ADJUSTED_HOLM,N-LEGACY51-0003-SUPPLIED_P_ADJUSTED_HOLM
service:A-GEN,1408,171,-0.028546152312599687,0.23067151947633832,1335,190,-0.0321,0.0368,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0004-N_BEFORE,N-LEGACY51-0004-N_AFTER,N-LEGACY51-0004-DIFF,N-LEGACY51-0004-P_VALUE,N-LEGACY51-0004-SUPPLIED_N_BEFORE,N-LEGACY51-0004-SUPPLIED_N_AFTER,N-LEGACY51-0004-SUPPLIED_DIFF,N-LEGACY51-0004-SUPPLIED_P_VALUE,N-LEGACY51-0004-P_ADJUSTED_HOLM,N-LEGACY51-0004-SUPPLIED_P_ADJUSTED_HOLM
service:A-OPHT,1482,381,0.0019020901739509322,0.9193659759094843,1396,471,0.0037,0.8201,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0005-N_BEFORE,N-LEGACY51-0005-N_AFTER,N-LEGACY51-0005-DIFF,N-LEGACY51-0005-P_VALUE,N-LEGACY51-0005-SUPPLIED_N_BEFORE,N-LEGACY51-0005-SUPPLIED_N_AFTER,N-LEGACY51-0005-SUPPLIED_DIFF,N-LEGACY51-0005-SUPPLIED_P_VALUE,N-LEGACY51-0005-P_ADJUSTED_HOLM,N-LEGACY51-0005-SUPPLIED_P_ADJUSTED_HOLM
service:A-PAED,1493,1210,-0.02093018106535735,0.056663645194200814,1408,1526,-0.017,0.0507,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0006-N_BEFORE,N-LEGACY51-0006-N_AFTER,N-LEGACY51-0006-DIFF,N-LEGACY51-0006-P_VALUE,N-LEGACY51-0006-SUPPLIED_N_BEFORE,N-LEGACY51-0006-SUPPLIED_N_AFTER,N-LEGACY51-0006-SUPPLIED_DIFF,N-LEGACY51-0006-SUPPLIED_P_VALUE,N-LEGACY51-0006-P_ADJUSTED_HOLM,N-LEGACY51-0006-SUPPLIED_P_ADJUSTED_HOLM
service:B-VASC,1211,289,-0.03928521425571249,0.039758174834915026,1136,354,-0.0392,0.0015,False,False,False,False,unreproduced,unreproduced,1.0,0.066,N-LEGACY51-0007-N_BEFORE,N-LEGACY51-0007-N_AFTER,N-LEGACY51-0007-DIFF,N-LEGACY51-0007-P_VALUE,N-LEGACY51-0007-SUPPLIED_N_BEFORE,N-LEGACY51-0007-SUPPLIED_N_AFTER,N-LEGACY51-0007-SUPPLIED_DIFF,N-LEGACY51-0007-SUPPLIED_P_VALUE,N-LEGACY51-0007-P_ADJUSTED_HOLM,N-LEGACY51-0007-SUPPLIED_P_ADJUSTED_HOLM
service:A-CARD,1495,366,-0.020635268746459046,0.32232530529154235,1422,460,-0.0104,0.5598,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0008-N_BEFORE,N-LEGACY51-0008-N_AFTER,N-LEGACY51-0008-DIFF,N-LEGACY51-0008-P_VALUE,N-LEGACY51-0008-SUPPLIED_N_BEFORE,N-LEGACY51-0008-SUPPLIED_N_AFTER,N-LEGACY51-0008-SUPPLIED_DIFF,N-LEGACY51-0008-SUPPLIED_P_VALUE,N-LEGACY51-0008-P_ADJUSTED_HOLM,N-LEGACY51-0008-SUPPLIED_P_ADJUSTED_HOLM
service:B-PAED,1200,293,-0.029516496018202512,0.157018174501346,1120,355,-0.0323,0.0485,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0009-N_BEFORE,N-LEGACY51-0009-N_AFTER,N-LEGACY51-0009-DIFF,N-LEGACY51-0009-P_VALUE,N-LEGACY51-0009-SUPPLIED_N_BEFORE,N-LEGACY51-0009-SUPPLIED_N_AFTER,N-LEGACY51-0009-SUPPLIED_DIFF,N-LEGACY51-0009-SUPPLIED_P_VALUE,N-LEGACY51-0009-P_ADJUSTED_HOLM,N-LEGACY51-0009-SUPPLIED_P_ADJUSTED_HOLM
service:A-PLAS,1478,171,-0.014010556386455542,0.5733246876761255,1396,198,-0.034,0.0491,False,False,False,False,unreproduced,unreproduced,1.0,1.0,N-LEGACY51-0010-N_BEFORE,N-LEGACY51-0010-N_AFTER,N-LEGACY51-0010-DIFF,N-LEGACY51-0010-P_VALUE,N-LEGACY51-0010-SUPPLIED_N_BEFORE,N-LEGACY51-0010-SUPPLIED_N_AFTER,N-LEGACY51-0010-SUPPLIED_DIFF,N-LEGACY51-0010-SUPPLIED_P_VALUE,N-LEGACY51-0010-P_ADJUSTED_HOLM,N-LEGACY51-0010-SUPPLIED_P_ADJUSTED_HOLM
