claim,mechanism,treated_multiplier,control_multiplier,estimate,quantity_status,treated_multiplier_number_id,control_multiplier_number_id,estimate_number_id,chance_excess_estimate,chance_excess_estimate_number_id
c1,pattern_mixture_symmetric,0.5,0.5,0.0047126740818498915,imputed_sensitivity_only,N-MISSINGNESS-SCENARIOS-0001-TREATED_MULTIPLIER,N-MISSINGNESS-SCENARIOS-0001-CONTROL_MULTIPLIER,N-MISSINGNESS-SCENARIOS-0001-ESTIMATE,,
c1,directional_treated_worse_control_better,0.5,2.0,-0.016469053069534653,imputed_sensitivity_only,N-MISSINGNESS-SCENARIOS-0002-TREATED_MULTIPLIER,N-MISSINGNESS-SCENARIOS-0002-CONTROL_MULTIPLIER,N-MISSINGNESS-SCENARIOS-0002-ESTIMATE,,
c1,directional_treated_better_control_worse,2.0,0.5,0.024456165542358743,imputed_sensitivity_only,N-MISSINGNESS-SCENARIOS-0003-TREATED_MULTIPLIER,N-MISSINGNESS-SCENARIOS-0003-CONTROL_MULTIPLIER,N-MISSINGNESS-SCENARIOS-0003-ESTIMATE,,
c1,pattern_mixture_symmetric,0.75,0.75,0.004416303088195176,imputed_sensitivity_only,N-MISSINGNESS-SCENARIOS-0004-TREATED_MULTIPLIER,N-MISSINGNESS-SCENARIOS-0004-CONTROL_MULTIPLIER,N-MISSINGNESS-SCENARIOS-0004-ESTIMATE,,
c1,directional_treated_worse_control_better,0.75,1.3333333333333333,-0.004137446357470447,imputed_sensitivity_only,N-MISSINGNESS-SCENARIOS-0005-TREATED_MULTIPLIER,N-MISSINGNESS-SCENARIOS-0005-CONTROL_MULTIPLIER,N-MISSINGNESS-SCENARIOS-0005-ESTIMATE,,
c1,directional_treated_better_control_worse,1.3333333333333333,0.75,0.012379674934970655,imputed_sensitivity_only,N-MISSINGNESS-SCENARIOS-0006-TREATED_MULTIPLIER,N-MISSINGNESS-SCENARIOS-0006-CONTROL_MULTIPLIER,N-MISSINGNESS-SCENARIOS-0006-ESTIMATE,,
c1,pattern_mixture_symmetric,1.5,1.5,0.0036777264496911017,imputed_sensitivity_only,N-MISSINGNESS-SCENARIOS-0007-TREATED_MULTIPLIER,N-MISSINGNESS-SCENARIOS-0007-CONTROL_MULTIPLIER,N-MISSINGNESS-SCENARIOS-0007-ESTIMATE,,
c1,directional_treated_worse_control_better,1.5,0.6666666666666666,0.01580385651752986,imputed_sensitivity_only,N-MISSINGNESS-SCENARIOS-0008-TREATED_MULTIPLIER,N-MISSINGNESS-SCENARIOS-0008-CONTROL_MULTIPLIER,N-MISSINGNESS-SCENARIOS-0008-ESTIMATE,,
c1,directional_treated_better_control_worse,0.6666666666666666,1.5,-0.00761441837858808,imputed_sensitivity_only,N-MISSINGNESS-SCENARIOS-0009-TREATED_MULTIPLIER,N-MISSINGNESS-SCENARIOS-0009-CONTROL_MULTIPLIER,N-MISSINGNESS-SCENARIOS-0009-ESTIMATE,,
c1,pattern_mixture_symmetric,2.0,2.0,0.0032744383909742002,imputed_sensitivity_only,N-MISSINGNESS-SCENARIOS-0010-TREATED_MULTIPLIER,N-MISSINGNESS-SCENARIOS-0010-CONTROL_MULTIPLIER,N-MISSINGNESS-SCENARIOS-0010-ESTIMATE,,
