family,comparison,p_value,quantity_status,adjustment_method,p_adjusted,p_value_number_id,p_adjusted_number_id
F_headline,c1_primary,0.7531,sensitivity_only,holm,1.0,N-MULTIPLICITY-0001-P_VALUE,N-MULTIPLICITY-0001-P_ADJUSTED
F_headline,c2_primary,0.0272,sensitivity_only,holm,0.08159999999999999,N-MULTIPLICITY-0002-P_VALUE,N-MULTIPLICITY-0002-P_ADJUSTED
F_headline,c3_primary,0.8442844284428442,sensitivity_only,holm,1.0,N-MULTIPLICITY-0003-P_VALUE,N-MULTIPLICITY-0003-P_ADJUSTED
F_legacy51,service:A-NEURO,0.9301,unreproduced,holm,1.0,N-MULTIPLICITY-0004-P_VALUE,N-MULTIPLICITY-0004-P_ADJUSTED
F_legacy51,service:B-THOR,0.0012,unreproduced,holm,0.05519999999999999,N-MULTIPLICITY-0005-P_VALUE,N-MULTIPLICITY-0005-P_ADJUSTED
F_legacy51,service:A-ORTH,0.2769,unreproduced,holm,1.0,N-MULTIPLICITY-0006-P_VALUE,N-MULTIPLICITY-0006-P_ADJUSTED
F_legacy51,service:A-GEN,0.0368,unreproduced,holm,1.0,N-MULTIPLICITY-0007-P_VALUE,N-MULTIPLICITY-0007-P_ADJUSTED
F_legacy51,service:A-OPHT,0.8201,unreproduced,holm,1.0,N-MULTIPLICITY-0008-P_VALUE,N-MULTIPLICITY-0008-P_ADJUSTED
F_legacy51,service:A-PAED,0.0507,unreproduced,holm,1.0,N-MULTIPLICITY-0009-P_VALUE,N-MULTIPLICITY-0009-P_ADJUSTED
F_legacy51,service:B-VASC,0.0015,unreproduced,holm,0.066,N-MULTIPLICITY-0010-P_VALUE,N-MULTIPLICITY-0010-P_ADJUSTED
F_legacy51,service:A-CARD,0.5598,unreproduced,holm,1.0,N-MULTIPLICITY-0011-P_VALUE,N-MULTIPLICITY-0011-P_ADJUSTED
F_legacy51,service:B-PAED,0.0485,unreproduced,holm,1.0,N-MULTIPLICITY-0012-P_VALUE,N-MULTIPLICITY-0012-P_ADJUSTED
F_legacy51,service:A-PLAS,0.0491,unreproduced,holm,1.0,N-MULTIPLICITY-0013-P_VALUE,N-MULTIPLICITY-0013-P_ADJUSTED
F_legacy51,service:A-VASC,0.1972,unreproduced,holm,1.0,N-MULTIPLICITY-0014-P_VALUE,N-MULTIPLICITY-0014-P_ADJUSTED
F_legacy51,service:B-ORTH,0.4883,unreproduced,holm,1.0,N-MULTIPLICITY-0015-P_VALUE,N-MULTIPLICITY-0015-P_ADJUSTED
F_legacy51,service:A-THOR,0.4002,unreproduced,holm,1.0,N-MULTIPLICITY-0016-P_VALUE,N-MULTIPLICITY-0016-P_ADJUSTED
F_legacy51,service:B-OPHT,0.3235,unreproduced,holm,1.0,N-MULTIPLICITY-0017-P_VALUE,N-MULTIPLICITY-0017-P_ADJUSTED
F_legacy51,service:B-GEN,0.8465,unreproduced,holm,1.0,N-MULTIPLICITY-0018-P_VALUE,N-MULTIPLICITY-0018-P_ADJUSTED
F_legacy51,service:B-URO,0.0014,unreproduced,holm,0.063,N-MULTIPLICITY-0019-P_VALUE,N-MULTIPLICITY-0019-P_ADJUSTED
F_legacy51,service:B-ENT,0.974,unreproduced,holm,1.0,N-MULTIPLICITY-0020-P_VALUE,N-MULTIPLICITY-0020-P_ADJUSTED
F_legacy51,service:B-NEURO,0.012,unreproduced,holm,0.444,N-MULTIPLICITY-0021-P_VALUE,N-MULTIPLICITY-0021-P_ADJUSTED
F_legacy51,service:B-GYN,0.1972,unreproduced,holm,1.0,N-MULTIPLICITY-0022-P_VALUE,N-MULTIPLICITY-0022-P_ADJUSTED
F_legacy51,service:B-CARD,0.9787,unreproduced,holm,1.0,N-MULTIPLICITY-0023-P_VALUE,N-MULTIPLICITY-0023-P_ADJUSTED
F_legacy51,service:A-URO,0.703,unreproduced,holm,1.0,N-MULTIPLICITY-0024-P_VALUE,N-MULTIPLICITY-0024-P_ADJUSTED
