claim,sensitivity,setting,estimate,quantity_status,setting_number_id,estimate_number_id
c1,followup_days,30,0.0045736848805190905,sensitivity_only,N-SENSITIVITIES-0001-SETTING,N-SENSITIVITIES-0001-ESTIMATE
c2,followup_days,30,1.0869858441763436,sensitivity_only,N-SENSITIVITIES-0002-SETTING,N-SENSITIVITIES-0002-ESTIMATE
c1,followup_days,60,0.0043222928850342665,sensitivity_only,N-SENSITIVITIES-0003-SETTING,N-SENSITIVITIES-0003-ESTIMATE
c2,followup_days,60,2.834735870050983,sensitivity_only,N-SENSITIVITIES-0004-SETTING,N-SENSITIVITIES-0004-ESTIMATE
c1,followup_days,90,0.004139886094149121,sensitivity_only,N-SENSITIVITIES-0005-SETTING,N-SENSITIVITIES-0005-ESTIMATE
c2,followup_days,90,4.624284245908762,sensitivity_only,N-SENSITIVITIES-0006-SETTING,N-SENSITIVITIES-0006-ESTIMATE
c1,policy_timing_shift_weeks,-4,0.008006557879327346,sensitivity_only,N-SENSITIVITIES-0007-SETTING,N-SENSITIVITIES-0007-ESTIMATE
c2,policy_timing_shift_weeks,-4,3.2806787808238584,sensitivity_only,N-SENSITIVITIES-0008-SETTING,N-SENSITIVITIES-0008-ESTIMATE
c1,policy_timing_shift_weeks,-2,0.007881051894563514,sensitivity_only,N-SENSITIVITIES-0009-SETTING,N-SENSITIVITIES-0009-ESTIMATE
c2,policy_timing_shift_weeks,-2,3.528838479007342,sensitivity_only,N-SENSITIVITIES-0010-SETTING,N-SENSITIVITIES-0010-ESTIMATE
c1,policy_timing_shift_weeks,2,0.0031696783635665384,sensitivity_only,N-SENSITIVITIES-0011-SETTING,N-SENSITIVITIES-0011-ESTIMATE
c2,policy_timing_shift_weeks,2,4.2558843898123575,sensitivity_only,N-SENSITIVITIES-0012-SETTING,N-SENSITIVITIES-0012-ESTIMATE
c1,policy_timing_shift_weeks,4,0.0011777389024002032,sensitivity_only,N-SENSITIVITIES-0013-SETTING,N-SENSITIVITIES-0013-ESTIMATE
c2,policy_timing_shift_weeks,4,4.1471708752501995,sensitivity_only,N-SENSITIVITIES-0014-SETTING,N-SENSITIVITIES-0014-ESTIMATE
c1,case_volume_weighting,post_site_a_volume,0.014449916248485095,sensitivity_only,,N-SENSITIVITIES-0015-ESTIMATE
c1,leave_one_service_out,CARD,0.005789097653515377,sensitivity_only,,N-SENSITIVITIES-0016-ESTIMATE
c1,leave_one_service_out,ENT,0.006883991486032207,sensitivity_only,,N-SENSITIVITIES-0017-ESTIMATE
c1,leave_one_service_out,GEN,0.00833054121643177,sensitivity_only,,N-SENSITIVITIES-0018-ESTIMATE
c1,leave_one_service_out,GYN,0.004431702722268507,sensitivity_only,,N-SENSITIVITIES-0019-ESTIMATE
c1,leave_one_service_out,NEURO,-0.0003191522462146881,sensitivity_only,,N-SENSITIVITIES-0020-ESTIMATE
c1,leave_one_service_out,OPHT,0.002666661126648456,sensitivity_only,,N-SENSITIVITIES-0021-ESTIMATE
c1,leave_one_service_out,ORTH,0.00519592313556987,sensitivity_only,,N-SENSITIVITIES-0022-ESTIMATE
c1,leave_one_service_out,PAED,0.0020155865775581903,sensitivity_only,,N-SENSITIVITIES-0023-ESTIMATE
c1,leave_one_service_out,PLAS,0.012686755391178644,sensitivity_only,,N-SENSITIVITIES-0024-ESTIMATE
c1,leave_one_service_out,THOR,-0.002000750619477061,sensitivity_only,,N-SENSITIVITIES-0025-ESTIMATE
c1,leave_one_service_out,URO,0.0014267125400696536,sensitivity_only,,N-SENSITIVITIES-0026-ESTIMATE
c1,leave_one_service_out,VASC,0.0025715641462085285,sensitivity_only,,N-SENSITIVITIES-0027-ESTIMATE
c2,case_volume_weighting,post_site_a_volume,3.5319117404070335,sensitivity_only,,N-SENSITIVITIES-0028-ESTIMATE
c2,leave_one_service_out,CARD,5.513594554859704,sensitivity_only,,N-SENSITIVITIES-0029-ESTIMATE
c2,leave_one_service_out,ENT,5.437639886186121,sensitivity_only,,N-SENSITIVITIES-0030-ESTIMATE
c2,leave_one_service_out,GEN,5.3716033098613165,sensitivity_only,,N-SENSITIVITIES-0031-ESTIMATE
c2,leave_one_service_out,GYN,4.322387784490719,sensitivity_only,,N-SENSITIVITIES-0032-ESTIMATE
c2,leave_one_service_out,NEURO,4.589195730301454,sensitivity_only,,N-SENSITIVITIES-0033-ESTIMATE
