claim,specialty,effect,a_before,a_after,b_before,b_after,a_after_missing_fraction,b_after_missing_fraction,a_after_n,b_after_n,quantity_status,effect_number_id,a_before_number_id,a_after_number_id,b_before_number_id,b_after_number_id,a_after_missing_fraction_number_id,b_after_missing_fraction_number_id,a_after_n_number_id,b_after_n_number_id
c1,CARD,-0.014001441058879696,0.12782485875706215,0.12564995025488132,0.11418376449598573,0.1260102970526846,0.18358531317494597,0.16421568627450978,463,408,sensitivity_only,N-SERVICE-EFFECTS-0001-EFFECT,N-SERVICE-EFFECTS-0001-A_BEFORE,N-SERVICE-EFFECTS-0001-A_AFTER,N-SERVICE-EFFECTS-0001-B_BEFORE,N-SERVICE-EFFECTS-0001-B_AFTER,N-SERVICE-EFFECTS-0001-A_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0001-B_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0001-A_AFTER_N,N-SERVICE-EFFECTS-0001-B_AFTER_N
c1,ENT,-0.02604527321656483,0.10727969348659004,0.10856168469750489,0.1380908248378128,0.16541808926529247,0.15637860082304522,0.19667590027700832,486,361,sensitivity_only,N-SERVICE-EFFECTS-0002-EFFECT,N-SERVICE-EFFECTS-0002-A_BEFORE,N-SERVICE-EFFECTS-0002-A_AFTER,N-SERVICE-EFFECTS-0002-B_BEFORE,N-SERVICE-EFFECTS-0002-B_AFTER,N-SERVICE-EFFECTS-0002-A_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0002-B_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0002-A_AFTER_N,N-SERVICE-EFFECTS-0002-B_AFTER_N
c1,GEN,-0.04195732025096002,0.061654135338345864,0.037037037037037035,0.11225444340505145,0.12959466535470263,0.11794871794871797,0.19060773480662985,195,362,sensitivity_only,N-SERVICE-EFFECTS-0003-EFFECT,N-SERVICE-EFFECTS-0003-A_BEFORE,N-SERVICE-EFFECTS-0003-A_AFTER,N-SERVICE-EFFECTS-0003-B_BEFORE,N-SERVICE-EFFECTS-0003-B_AFTER,N-SERVICE-EFFECTS-0003-A_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0003-B_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0003-A_AFTER_N,N-SERVICE-EFFECTS-0003-B_AFTER_N
c1,GYN,0.0009299031848358785,0.05531609195402299,0.03077479610628782,0.10323159784560143,0.07776039881303039,0.16574585635359118,0.19390581717451527,181,361,sensitivity_only,N-SERVICE-EFFECTS-0004-EFFECT,N-SERVICE-EFFECTS-0004-A_BEFORE,N-SERVICE-EFFECTS-0004-A_AFTER,N-SERVICE-EFFECTS-0004-B_BEFORE,N-SERVICE-EFFECTS-0004-B_AFTER,N-SERVICE-EFFECTS-0004-A_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0004-B_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0004-A_AFTER_N,N-SERVICE-EFFECTS-0004-B_AFTER_N
c1,NEURO,0.053189307838151026,0.1041958041958042,0.11685492526157305,0.10667823070251518,0.06614804393013302,0.17539863325740324,0.16094986807387868,439,379,sensitivity_only,N-SERVICE-EFFECTS-0005-EFFECT,N-SERVICE-EFFECTS-0005-A_BEFORE,N-SERVICE-EFFECTS-0005-A_AFTER,N-SERVICE-EFFECTS-0005-B_BEFORE,N-SERVICE-EFFECTS-0005-B_AFTER,N-SERVICE-EFFECTS-0005-A_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0005-B_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0005-A_AFTER_N,N-SERVICE-EFFECTS-0005-B_AFTER_N
c1,OPHT,0.020345360736656444,0.09791216702663787,0.10615408574452252,0.06909430438842204,0.05699086236965025,0.16913319238900637,0.19191919191919193,473,396,sensitivity_only,N-SERVICE-EFFECTS-0006-EFFECT,N-SERVICE-EFFECTS-0006-A_BEFORE,N-SERVICE-EFFECTS-0006-A_AFTER,N-SERVICE-EFFECTS-0006-B_BEFORE,N-SERVICE-EFFECTS-0006-B_AFTER,N-SERVICE-EFFECTS-0006-A_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0006-B_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0006-A_AFTER_N,N-SERVICE-EFFECTS-0006-B_AFTER_N
c1,ORTH,-0.007476521361479117,0.13157894736842105,0.11716256843479955,0.05824372759856631,0.051303870026423934,0.1530398322851153,0.17215189873417724,477,395,sensitivity_only,N-SERVICE-EFFECTS-0007-EFFECT,N-SERVICE-EFFECTS-0007-A_BEFORE,N-SERVICE-EFFECTS-0007-A_AFTER,N-SERVICE-EFFECTS-0007-B_BEFORE,N-SERVICE-EFFECTS-0007-B_AFTER,N-SERVICE-EFFECTS-0007-A_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0007-B_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0007-A_AFTER_N,N-SERVICE-EFFECTS-0007-B_AFTER_N
c1,PAED,0.027507180776649362,0.06142857142857143,0.052323856876156115,0.09775784753363229,0.06114595220456761,0.18848167539267013,0.20448179271708689,1528,357,sensitivity_only,N-SERVICE-EFFECTS-0008-EFFECT,N-SERVICE-EFFECTS-0008-A_BEFORE,N-SERVICE-EFFECTS-0008-A_AFTER,N-SERVICE-EFFECTS-0008-B_BEFORE,N-SERVICE-EFFECTS-0008-B_AFTER,N-SERVICE-EFFECTS-0008-A_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0008-B_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0008-A_AFTER_N,N-SERVICE-EFFECTS-0008-B_AFTER_N
c1,PLAS,-0.08987567617317563,0.08111988513998564,0.0315,0.11785714285714285,0.15811293389033285,0.18999999999999995,0.17039106145251393,200,358,sensitivity_only,N-SERVICE-EFFECTS-0009-EFFECT,N-SERVICE-EFFECTS-0009-A_BEFORE,N-SERVICE-EFFECTS-0009-A_AFTER,N-SERVICE-EFFECTS-0009-B_BEFORE,N-SERVICE-EFFECTS-0009-B_AFTER,N-SERVICE-EFFECTS-0009-A_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0009-B_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0009-A_AFTER_N,N-SERVICE-EFFECTS-0009-B_AFTER_N
c1,THOR,0.07168688994403713,0.09593023255813954,0.1136064218057608,0.12746858168761221,0.07345788099119635,0.17671517671517667,0.2100840336134454,481,357,sensitivity_only,N-SERVICE-EFFECTS-0010-EFFECT,N-SERVICE-EFFECTS-0010-A_BEFORE,N-SERVICE-EFFECTS-0010-A_AFTER,N-SERVICE-EFFECTS-0010-B_BEFORE,N-SERVICE-EFFECTS-0010-B_AFTER,N-SERVICE-EFFECTS-0010-A_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0010-B_AFTER_MISSING_FRACTION,N-SERVICE-EFFECTS-0010-A_AFTER_N,N-SERVICE-EFFECTS-0010-B_AFTER_N
