claim,method,dimension,level,estimate,lower,upper,p_value,service_clusters,episodes,status,quantity_status,estimate_number_id,lower_number_id,upper_number_id,p_value_number_id,service_clusters_number_id,episodes_number_id
c1,approach_a_service_did,sex,F,0.0006585294911465195,-0.020571877499848113,0.021908260785965264,0.9544,12,20010,estimated,sensitivity_only,N-SUBGROUPS-0001-ESTIMATE,N-SUBGROUPS-0001-LOWER,N-SUBGROUPS-0001-UPPER,N-SUBGROUPS-0001-P_VALUE,N-SUBGROUPS-0001-SERVICE_CLUSTERS,N-SUBGROUPS-0001-EPISODES
c1,approach_b_synthetic_control,sex,F,-0.008005580655323748,-0.07512084333599806,0.07532777410953771,,12,20010,descriptive_no_formal_subgroup_test,sensitivity_only,N-SUBGROUPS-0002-ESTIMATE,N-SUBGROUPS-0002-LOWER,N-SUBGROUPS-0002-UPPER,,N-SUBGROUPS-0002-SERVICE_CLUSTERS,N-SUBGROUPS-0002-EPISODES
c1,approach_a_service_did,sex,M,0.007287029222055134,-0.025498246673860258,0.03987422681672458,0.6899,12,19937,estimated,sensitivity_only,N-SUBGROUPS-0003-ESTIMATE,N-SUBGROUPS-0003-LOWER,N-SUBGROUPS-0003-UPPER,N-SUBGROUPS-0003-P_VALUE,N-SUBGROUPS-0003-SERVICE_CLUSTERS,N-SUBGROUPS-0003-EPISODES
c1,approach_b_synthetic_control,sex,M,0.01654689148411873,-0.04882784982567898,0.05864719276587472,,12,19937,descriptive_no_formal_subgroup_test,sensitivity_only,N-SUBGROUPS-0004-ESTIMATE,N-SUBGROUPS-0004-LOWER,N-SUBGROUPS-0004-UPPER,,N-SUBGROUPS-0004-SERVICE_CLUSTERS,N-SUBGROUPS-0004-EPISODES
c1,approach_a_service_did,age,age_lt_40,0.01637397251370876,-0.03934151186129685,0.07156829254225798,0.589,12,5671,estimated,sensitivity_only,N-SUBGROUPS-0005-ESTIMATE,N-SUBGROUPS-0005-LOWER,N-SUBGROUPS-0005-UPPER,N-SUBGROUPS-0005-P_VALUE,N-SUBGROUPS-0005-SERVICE_CLUSTERS,N-SUBGROUPS-0005-EPISODES
c1,approach_b_synthetic_control,age,age_lt_40,0.024929070759971222,-0.11434020509503091,0.19253269269144752,,12,5671,descriptive_no_formal_subgroup_test,sensitivity_only,N-SUBGROUPS-0006-ESTIMATE,N-SUBGROUPS-0006-LOWER,N-SUBGROUPS-0006-UPPER,,N-SUBGROUPS-0006-SERVICE_CLUSTERS,N-SUBGROUPS-0006-EPISODES
c1,approach_a_service_did,age,age_40_64,0.010883925498543903,-0.019459331437257726,0.040718850478934004,0.5039,12,21844,estimated,sensitivity_only,N-SUBGROUPS-0007-ESTIMATE,N-SUBGROUPS-0007-LOWER,N-SUBGROUPS-0007-UPPER,N-SUBGROUPS-0007-P_VALUE,N-SUBGROUPS-0007-SERVICE_CLUSTERS,N-SUBGROUPS-0007-EPISODES
c1,approach_b_synthetic_control,age,age_40_64,0.009068863109024784,-0.11814980493481189,0.09795678072698434,,12,21844,descriptive_no_formal_subgroup_test,sensitivity_only,N-SUBGROUPS-0008-ESTIMATE,N-SUBGROUPS-0008-LOWER,N-SUBGROUPS-0008-UPPER,,N-SUBGROUPS-0008-SERVICE_CLUSTERS,N-SUBGROUPS-0008-EPISODES
c1,approach_a_service_did,age,age_ge_65,-0.014215067070730373,-0.045876443894280396,0.017705390274664563,0.4116,12,12432,estimated,sensitivity_only,N-SUBGROUPS-0009-ESTIMATE,N-SUBGROUPS-0009-LOWER,N-SUBGROUPS-0009-UPPER,N-SUBGROUPS-0009-P_VALUE,N-SUBGROUPS-0009-SERVICE_CLUSTERS,N-SUBGROUPS-0009-EPISODES
c1,approach_b_synthetic_control,age,age_ge_65,-0.012599650980777352,-0.07276155753571338,0.066319167453314,,12,12432,descriptive_no_formal_subgroup_test,sensitivity_only,N-SUBGROUPS-0010-ESTIMATE,N-SUBGROUPS-0010-LOWER,N-SUBGROUPS-0010-UPPER,,N-SUBGROUPS-0010-SERVICE_CLUSTERS,N-SUBGROUPS-0010-EPISODES
c2,approach_a_service_did,sex,F,5.817171029049116,0.2620430275186809,11.289250917747442,0.0358,12,20010,estimated,sensitivity_only,N-SUBGROUPS-0011-ESTIMATE,N-SUBGROUPS-0011-LOWER,N-SUBGROUPS-0011-UPPER,N-SUBGROUPS-0011-P_VALUE,N-SUBGROUPS-0011-SERVICE_CLUSTERS,N-SUBGROUPS-0011-EPISODES
c2,approach_b_synthetic_control,sex,F,3.332269341947468,-8.494758348564755,8.614110379350556,,12,20010,descriptive_no_formal_subgroup_test,sensitivity_only,N-SUBGROUPS-0012-ESTIMATE,N-SUBGROUPS-0012-LOWER,N-SUBGROUPS-0012-UPPER,,N-SUBGROUPS-0012-SERVICE_CLUSTERS,N-SUBGROUPS-0012-EPISODES
c2,approach_a_service_did,sex,M,3.265105197447687,-0.7760616636296556,7.255437775417596,0.1192,12,19937,estimated,sensitivity_only,N-SUBGROUPS-0013-ESTIMATE,N-SUBGROUPS-0013-LOWER,N-SUBGROUPS-0013-UPPER,N-SUBGROUPS-0013-P_VALUE,N-SUBGROUPS-0013-SERVICE_CLUSTERS,N-SUBGROUPS-0013-EPISODES
c2,approach_b_synthetic_control,sex,M,2.9944628757325207,-8.37072417530064,8.796796036169889,,12,19937,descriptive_no_formal_subgroup_test,sensitivity_only,N-SUBGROUPS-0014-ESTIMATE,N-SUBGROUPS-0014-LOWER,N-SUBGROUPS-0014-UPPER,,N-SUBGROUPS-0014-SERVICE_CLUSTERS,N-SUBGROUPS-0014-EPISODES
c2,approach_a_service_did,age,age_lt_40,6.480896956967745,-0.4751006694828819,13.386104399068302,0.0772,12,5671,estimated,sensitivity_only,N-SUBGROUPS-0015-ESTIMATE,N-SUBGROUPS-0015-LOWER,N-SUBGROUPS-0015-UPPER,N-SUBGROUPS-0015-P_VALUE,N-SUBGROUPS-0015-SERVICE_CLUSTERS,N-SUBGROUPS-0015-EPISODES
c2,approach_b_synthetic_control,age,age_lt_40,1.7532020382044924,-9.39484066506888,19.78004181616514,,12,5671,descriptive_no_formal_subgroup_test,sensitivity_only,N-SUBGROUPS-0016-ESTIMATE,N-SUBGROUPS-0016-LOWER,N-SUBGROUPS-0016-UPPER,,N-SUBGROUPS-0016-SERVICE_CLUSTERS,N-SUBGROUPS-0016-EPISODES
c2,approach_a_service_did,age,age_40_64,5.3659872301302975,0.769397625022032,9.964733665312874,0.0175,12,21844,estimated,sensitivity_only,N-SUBGROUPS-0017-ESTIMATE,N-SUBGROUPS-0017-LOWER,N-SUBGROUPS-0017-UPPER,N-SUBGROUPS-0017-P_VALUE,N-SUBGROUPS-0017-SERVICE_CLUSTERS,N-SUBGROUPS-0017-EPISODES
c2,approach_b_synthetic_control,age,age_40_64,2.5619690593282267,-6.839820214771716,7.583655099026004,,12,21844,descriptive_no_formal_subgroup_test,sensitivity_only,N-SUBGROUPS-0018-ESTIMATE,N-SUBGROUPS-0018-LOWER,N-SUBGROUPS-0018-UPPER,,N-SUBGROUPS-0018-SERVICE_CLUSTERS,N-SUBGROUPS-0018-EPISODES
c2,approach_a_service_did,age,age_ge_65,2.5600956082627655,-1.1498400091893082,6.320966405695754,0.1992,12,12432,estimated,sensitivity_only,N-SUBGROUPS-0019-ESTIMATE,N-SUBGROUPS-0019-LOWER,N-SUBGROUPS-0019-UPPER,N-SUBGROUPS-0019-P_VALUE,N-SUBGROUPS-0019-SERVICE_CLUSTERS,N-SUBGROUPS-0019-EPISODES
c2,approach_b_synthetic_control,age,age_ge_65,2.0396004876558633,-6.936654453884816,5.1665082724640925,,12,12432,descriptive_no_formal_subgroup_test,sensitivity_only,N-SUBGROUPS-0020-ESTIMATE,N-SUBGROUPS-0020-LOWER,N-SUBGROUPS-0020-UPPER,,N-SUBGROUPS-0020-SERVICE_CLUSTERS,N-SUBGROUPS-0020-EPISODES
c1,approach_a_interaction,sex,F_vs_M,-0.006628499730908615,-0.036272908096228886,0.023185305849600428,0.6702,12,,estimated_interaction,sensitivity_only,N-SUBGROUPS-0021-ESTIMATE,N-SUBGROUPS-0021-LOWER,N-SUBGROUPS-0021-UPPER,N-SUBGROUPS-0021-P_VALUE,N-SUBGROUPS-0021-SERVICE_CLUSTERS,
c1,approach_a_interaction,age,age_40_64_vs_age_lt_40,-0.005490047015164858,-0.05703184822108205,0.04579634020459144,0.8544,12,,estimated_interaction,sensitivity_only,N-SUBGROUPS-0022-ESTIMATE,N-SUBGROUPS-0022-LOWER,N-SUBGROUPS-0022-UPPER,N-SUBGROUPS-0022-P_VALUE,N-SUBGROUPS-0022-SERVICE_CLUSTERS,
c1,approach_a_interaction,age,age_ge_65_vs_age_lt_40,-0.030589039584439134,-0.08595984843863738,0.02639476813803506,0.3285,12,,estimated_interaction,sensitivity_only,N-SUBGROUPS-0023-ESTIMATE,N-SUBGROUPS-0023-LOWER,N-SUBGROUPS-0023-UPPER,N-SUBGROUPS-0023-P_VALUE,N-SUBGROUPS-0023-SERVICE_CLUSTERS,
c2,approach_a_interaction,sex,F_vs_M,2.5520658316014284,-1.5385250786459812,6.721951450868989,0.248,12,,estimated_interaction,sensitivity_only,N-SUBGROUPS-0024-ESTIMATE,N-SUBGROUPS-0024-LOWER,N-SUBGROUPS-0024-UPPER,N-SUBGROUPS-0024-P_VALUE,N-SUBGROUPS-0024-SERVICE_CLUSTERS,
c2,approach_a_interaction,age,age_40_64_vs_age_lt_40,-1.1149097268374468,-6.127481445276674,3.886842629136802,0.712,12,,estimated_interaction,sensitivity_only,N-SUBGROUPS-0025-ESTIMATE,N-SUBGROUPS-0025-LOWER,N-SUBGROUPS-0025-UPPER,N-SUBGROUPS-0025-P_VALUE,N-SUBGROUPS-0025-SERVICE_CLUSTERS,
